stem,stem_translit
abēstān,ʾp̄stʾn
ō,OL
kard,krt
dagr,dgl
ēg,ADYN'
drust,drwst'
xēm,hym
zardušt,zltwšt
spitāmān,spytʾmʾn
nihād,HNHTWNt
guft,gwpt
āxēz,KYMWN
pus,BRE
man,L
frahang,plʾhng
hammōzēm,hmwcm
kirbag,krpk
handēš,hndyš
bāš,YHWWNš
ma,AL
wināh,wnʾs
mardōm,mltwm
ǰāwēd,yʾwyt
zamān,ẕmʾn
zīndag,zywndk
tis,MNDOM
ān ī,ZK Y
mēnōg,mynwḵ
abāy,ʾp̄ʾ
uzīd,ʾwcyt
frāmōš,plʾmwš
kun,OḆYDWNt͟y
mad ēstēd,mt YKOYMWNyt
tēmār,tymʾl
bēš,byš
bar,YḆLWNt͟y
xwadāy,hwtʾy
wastār,wstʾl
wistāx,wstʾhw
har čē,KRA ME
tō,LK
nēk,nywk
iz,c
any kas,AHRN AYŠ
andar,ḆYN
dōst,dwst
xwēš,NPŠE
tan,tn'
bowandagīh,bwndkyh
kas,AYŠ
abespār,ʾp̄spʾl
har kē,KRA MNW
abāg,LWTE
xēšm,ʾyšm
raw,SGYTW
ēg,ADN
iš,š
az,hc
dūr,dwl
bāstān,bʾstʾn'
har gāh,KRA gʾs
ummēd,ʾwmyt
yazad,yẕd
gīr,OHDWNt͟y
sūd,swt
hād,HWEʾt
amahraspand,ʾmhrspnd
tuxš,twhš
gyān,yʾn
rāz,lʾc
ašnawē,ʾšnwydy
niyōš,ndwš
halag,hlk
gōw,YMRRWN
ǰud az,ywdt MN
hil,ŠḆKWN
t,t
rasād,YHMTWNʾt
bawē,YHWWNydy
pašēmān,pšymʾn
gāh,gʾs
xand,GHBHWN
spaxr,spʾhl
wiyufsišn,lwdwwpsʾn
paymān,ptmʾn
ēč kas,ʾyc AYŠ
āgāh,ʾkʾs
ham,hm
rāh,lʾs
halag,hlgc
uskār,ʾwskʾ
was,KBD
xwar,hw
mastōg,mstwk
wad,wt
gōhr,gwhl
tōhm,twhm
abām,ʾp̄ʾm
stān,YNSḆWNt͟y
dah,YHBWN
waxš,whš
dād,YHBWNtn
dar,BBA
ēst,YKOYMW
hamēšag,hmyšk
paygām,pgtʾm
bar,bl
u,AP
zyān,zydʾn
baw,YHWW
čašm,cšm
ayār,hdybʾl
arēšk,ʾlšky
nimāy,nmʾd
wizīr,wcyl
drō,KDBA
āwāš,HTYMWN
spazg,syzg
drōz,dlw
saxwan,MRYA
ašnaw,OŠMEN
pādifrāh,pʾtplʾs
kardan,krtn'
waran,wln'
xwar,hwln
pahikār,ptkʾl
zan,MHYTWN
kōxš,kwhš
āzād,ʾcʾt
čihr,cyh
kār,kʾl
zīrak,zylk
purs,pwr
nibard,nplt
bār,bʾl
abēr,ʾp̄yl
tars,tls
pādixšā,pʾthšʾ
dibīr,dpywr
hamēmāl,hmymʾl
gōw,gw
xwad,BNPŠE
kun,OḆYDWN
dān,dʾn
grāmīg,glʾmyk
purs,pwrs
iz,yc
kē,MNW
šarm,šlm
iz tis,yc MNDOM
graw,glwb'
nih,HNHTWN
rāst,lʾst
sōgand,swknd
kadag,ktk
kām,kʾ
nazdist,nzdst
uzēnag,ʾwcynk
mayān,mdyʾn
xwāh,BOYHWN
agar,HT
naxust,nhwst
āb,MYA
raz,lz
zamīg,ẕmyk
wēš,wyš
xrīn,ZḆNNt͟y
dah,d
ēg,ADYN
bun,bwn
tuwān,twbʾn
āzār,ʾcʾl
raw,SGYTWN
rād,lʾt
frēft,plypt
dard,dlt
pēšōbāy,pyšwpʾḏ
gramīg,glʾmyk
u,AP̠
š,š
meh,ms
padīr,MKBLWN
bē ǰud az,BRA ywdt MN
xwēš,hwyš
šarm,šlmk
zanīh,NYŠEyh
ōwōn,ʾwgwn
homānāg,hwmʾnʾk
abgand ēstēd,LMYTWNt YKOYMWNyt
xwār,hwʾl
gōnag,gwnk
āškār,ʾškʾ
pad ǰud az,PWN ywdt MN
handēš,hndy
saxwan,shwn
gōw,YMRRW
bē pad,BRA PWN
enyā,ʾynyʾ
frazānag,plcʾnk
drust,drwdst
kūč,γwc
škōh,škwh
dāmād,dʾmʾt
ēg,ʾynyʾ
ras,YHMTW
meh,msʾt
anāmurzīd,ʾnʾmwlcyt
abarmān,ʾp̄lmʾn
zēndān,zyndʾn
wizīd,wcy
wuzurg,wcwlg
ošyār,ʾwšdʾl
band,bnd
aburnāy,ʾp̄lnʾ
dibīr,dpyr
rōšn,lwšn
tēz,tyc
gōw,YMLLWN
guft,gwptn
weh,ŠPYL
pād,NTLWNtn
zad,z
awestwār,ʾwstwbʾl
wābar,wʾp̄l
it,t
ēwēn,ʾdwyn'
čarb,clp
gōw,YMRRW[N]
mēn,my
frāraōn,plʾlwn
stāy,stʾḏ
frārōn,plʾlwn
kun,kw
dād,dʾt
saxwan,shwn'
duzd,dwct
stō,stwb'
bīm,bym
dušox,dwšhw
nigēr,nky
har kas,KRA AYŠ
har tis,KRA MNDOM
framān,plmʾn
bahr,bʾhl
spās,spʾs
dār,dʾl
arzān,ʾlcʾn
ēr,ʾl
was,ws
husraw,hwslwb'
zīw,zy
ahlaw,ʾhlwb'
pursīd,pwrsyt
wahišt,whšt
garōdmān,glwtmʾn
frēb,plyp
xwurd,hwl
šnōhr,šnwhl
dār,YHSN
xēšm,hšm
tabāh,tpʾh
niyāz,ʾc
namāz,nmʾc
burd,YḆLWNtn
pušt,pwšt
šken,TBLW
pursīd,pwrsytn
dahān,PWME
gand,gn
fradom,pltwm
čihr,cyhl
hanǰaman,hncmn
nišīnē,YTYBWNydy
nazdīk ī,nzdyk Y
nišīn,YTYBWN
sūr,swl
har,KRA
gyāg,gywʾk
azabar,hcpl
āhanǰ,ʾhncyn
nišān,YTYBWNʾn
xīr,CBW
gētīg,gytyӯ
murw,mwlw
ē,HD
draxt,dlht
nišīn,YTYBW
ēč,ʾyc
pāy,NTLW
pid,AB'
mād,AM
tarsagāh,tlskʾs
niyōxšīd,ndwhšyt
burd,bwlt
šagr,šgl
wēšag,wyšk
iz kas,yc AYŠ
tars,tl
zan,zn
wēwag,wypk
stān,YNSḆWN
duxt,BRTE
pad,pt
abgan,LMYTWN
ǰōrdā,ywltʾk
xwāhē,BOYHWNydy
nām,nʾm
tund,tnd
ōft,ʾwp
hamāg,hmʾk
murw,mwlw'
māhīg,mʾhyk
sōz,sw
xrafstar,hlpstl
āzard,ʾclt
hušnūd,hwšnwt
dawāl,dwbʾl
dārād,YHSNNʾt
u,AP̱
dōšāram,dwšʾlm
nang,nng
dō,2
ēwēnag,ʾdwynk
hanǰaman,hncmn'
drōz,dlwc
asān,ʾsʾn
pāy,LGLE
šab,LYLYA
āxēz,ʾhyc
rawāg,lwbʾk
men,mn
kahwan,khwbn
nōg,nwk
mār,mʾl
syā,sydʾ
sāl,ŠN
frāmōš,plʾmw
may,HS
har čand,KRA cnd
šahryār,štr'ydʾl
saz,sc
šāy,š
āfrīn,ʾp̄ryn'
dil,LBBME
rām,lʾ
abzāy,ʾp̄zʾ
windē,HŠKHWNydy
dahibed,dhywpt
nifrīn,nplyn'
šahr,štr'
pās,pʾs
h,HWE
handāz,hndʾcyn
gōwēm,YMRRWm
ǰah,yh
xrad,hlt
pargast,plkst
ayāb,ʾywp
čahār,chʾl
pāy,pʾd
mīr,YMYTW
mān,KTLW
āstawānīh,ʾstpʾnyh
hunsand,hwnsnd
mahist,mhyst
wuzurg,LBAy
ayād,ʾḇyḏʾt
hil,ŠḆKWNt͟y
dast,YDE
duzd,dwcd
axwēš,ʾhwyškʾlyh
raft,SGYTWNtn
men,my
abārōn,ʾp̄ʾlwn
abāz,ʾp̄ʾc
kun,OḆYDW
pādāšn,pʾtdʾyšn
wind,HŠKHW
padifrāh,pʾtplʾs
barēd,YḆLWNt͟y
čāh,cʾh
kan,HP̱LW
āsāy,ʾs
andōh,ʾndwhh
ǰuwān,ywḇʾn
apaymān,ʾp̄tmʾn
xwar,OŠTE
afsōn,ʾp̄swn
weh,wyh
dānē,YDOYTWNydy
zūd zūd,zwt zwt
gazād,gzʾt
abar gyāg,QDM gywʾk
mīrē,mylyt
āšnāg,ʾšnʾk
stahmag,sthmk
barād,YḆLWNʾt
pad gyāg,PWN gywʾk
mīrē,YMYTWNydy
mihr,mtr'
xwarrah,GDE
pas,ps
awiš,ʾwbš
appar,YHNCLWN
āmēz,ʾmyc
wany,HWBDN
apaydāg,ʾp̄ytʾk
āfrīd,ʾp̄lyt'
šād,šʾt
xīk,ZYŠ
purr,pwl
wād,wʾt
ānōh,TME
mān,mʾ
šīr,šyl
xwār,hwʾ
xōg,hwk
ēst,YKOYMWN
ohrmazd,ʾwhrmẕd
rōz,YWM
huram,hwlm
wahman,whwmn
wistar,wst
ǰāmag,yʾmk
paymōz,ptmwc
ardwahišt,ʾrtwhšt
mān,mʾn
šahrewar,štrywl
spandarmad,sp̄ndrmt
hordād,hwrdt
ǰōy,ywd
kan,HP̱LWN
amurdād,ʾmwrdt
nišān,nšʾn
day,ddw
ādur,ʾtwr
šōy,šwy
mōy,mwd
nāxun,nʾhwn
wirāy,wylʾd
paz,AP̄PWN
ābān,ʾp̄ʾn
pāhrēz,pʾhlyc
xwar,hwl
kōdak,kwtk
dibīr,dpyrs
māh,mʾh
wiyufsišn,wywpsšn'
āyaft,ʾdypt
tīr,tyl
tigr,tgl
wist,ŠDYTWNtn
aswār,ʾswbʾl
hammōxt,hmwhtn
frēst,plyst
gōš,gwš
parwar,plw
gōšurō,gwšʾwlwk
gāw,TWRA
hammōz,hmwc
angūr,ʾngwl
abāz ō,LAWHL OL
karxōš,klhwš
must,mwst
dād,dʾtw
garz,gl
srōš,slwš
bōxt,bwht
ahlā,ʾhlyӯ
rašn,lšn
rōz,lwc
sabuk,spwk
kāmē,YCBENydy
frawardīn,plwltyn'
yaz,y
frawahr,plwʾhl
ahlaw,ʾhlwb
baw,YHWWN
xān,hʾn
zūd,zwt
frazām,plcʾm
razm,lcm
kārezār,kʾlycʾl
pērōzīh,pylwcyh
āyē,YATWNydy
rām,lʾm
bōxt,bwh
drang,dlncšn
paywand,ptwnd
day,ddw'
xānag,hʾnk
āwar,YHYTYWN
pōš,pwš
ōzan,Y̱KTLWN
ard,ʾlt
xrīn,ZḆNN'
aštād,ʾštʾt
asp,SWSYA
stōr,stwl
gušn,gwšn
drust,drwst
asmān,ʾsymʾn
zāmyād,zmyʾt
dārūg,dʾlwk
abzāy,ʾp̄zʾd
dōz,HTTWN
niger,nḵl
zāy,Y̠LYDW
anagrān,ʾnglʾn
frazand,prẕnd
nāmčišt,ŠMcšt
anāg,ʾnʾk
abrāz,ʾp̄lʾc
šēb,šyp
xward,OŠTENtn
waran,wln
čahār,4
pādyāwand,pʾtydʾwnd
nimūd,nmwtn
abar,ʾp̄l
hangad,hngt
rahīg,lsyk
aburnāy,ʾp̄lnʾd
pīr,pyl
bowandag,bwndk
xūb,hwp
ēwāz,ʾywʾc
dānist,YDOYTWNstn
gōwēm,YMRRWNm
ayār,hdyb
ēdōn,ʾytwn
wehzād,wyhzʾd
farrox,plhw
pērōz,pylwc
m,m
uzmūd hēd,ʾwzmwt HWEyt'
baxt ēstēd,bht YKOYMWNyt
āsān,ʾsʾn
xrad,
ranǰ,lnc
ī,ZY
šān,šʾn
wizīdār,wcytʾl
ōš,ʾwš
abzār,ʾp̄zʾl
dastwar,dstwbl
wēmār,wymʾl
wiyābān,wydʾp̄ʾn
stambag,sthmbk
handōz,hndw
ward,wl
wīdwar,wytwl
baxt,bht
nihang,nysn
ahunsand,ʾhwnsnd
abar,ʾp̄
drāyēn,dlʾdyn
aǰgahān,ʾšghʾn
rāy,LA
āmārēn,ʾmʾlyn
uzmūd,ʾwzmwt
dām,dʾm
burd,bwltn
frāx,plʾhw
frayād,plydʾt
wuzurg,LBA
nay,DḆYLW
škeft,škypt
unknown,hlwsp
bōz,bw
dāšt,dʾšt
pānāg,pʾnʾk
frayād,plyʾt
ras,YHMTWN
kam,km
pānag,pʾnk
ēdar,LTME
panāh,pnʾh
payrāy,pylʾ
frayād,plyʾ
abrōz,ʾp̄lw
wih,ŠDYTW
ēwar,ʾywl
tāšt,t'ʾš
dān,dʾ
stāyīd,stʾdyy
āwām,ʾwbʾm
sāl,ŠNT
zīwist,zywst
āmad,YATWNt
puhl,pwhl
hangār,hngʾl
tuwān,twbʾ
tō,L
appār,ʾp̄ʾl
az,ʾz
rāγ,lʾk
ram,lm
handōxt,hndwht
hanbār,hnbʾ
šōy,šwd
dān,YDOYTW
sar,LOYŠE
wēn,HẔYTW
wišuft,wšwpt
kālbod,kʾlpwt
škast,škst
framōš,plmwšt
šud,OZLWNt
kirrōg,klwkʾl
āxist,ʾhst
mānd,KTLWNt
kirrōg,kylwk
hanǰuxt,hnywht
xwamn,ẖmn
grift,OHDWNt
āxēz,ʾhy
čand,cndy
rōy,lw
ǰud,ywdt
spōxt,spwhtn
nūn,KON
gāhūg,gʾswk
nasā,nsʾy
daxmag,dhmk
did,TWḆ
gumēz,gwmy
ē,ʾy
gīr,OHDW
ē,ʾyw
tāg,tʾk
way,wʾd
keh,ks
bandag,bn'dk
driyōš,dlgwš
āzād,ʾzʾt
brīn,PSKWN
andar ō,ḆYN OL
widār,wtʾlyn
pidar,ABYtl
wardag,wltk
frāz ō,prʾc OL
widarag,wtlg
ānay,HYTYWN
činwad,cynwt
buland,bwlnd
warzīd ēstēd,wlcyt YKOYMWNyt
pēš,pyšy
ahlāyīh,ʾhlʾdyh
brād,blʾt
husraw,hwslwb
hambāz,hmbʾc
hambār,hnbʾl
rāyēnīd,lʾdynyt
gāhān,gʾsʾn
dādestān,DYNA
āzārd,ʾcʾltn
sāz,sʾ
brādar,blʾtl
nazdīk,nzdyk
tuxšīd,twhšyt
būd,YHWWNtn
āmār,ʾmʾl
im,LẔNE
raft hēm,SGYTWNt HWEm
abārōn,ʾp̄ʾlwn'
aspinǰ,ʾspnc
rōz,YW
bazag,bck
nay,DḆLW
wizarš,wyzlš
dēw,ŠDYA
nay,DḆLWN
ka,AMT'
griy,BḴYWN
abaxšāy,ʾp̄'hšʾdyn
wāng,KALA
niyōxš,ndwhšyn
abdom,ʾp̄dwm
abestān,ʾp̄stʾn
arz,ʾlc
sust,swst
ēn hamāg,ẔNE hmʾk
tā,tʾk
(a)rešk,lyšk
nāz,nʾ
burz,bwl
zurwān,zlwʾn
marg,mlg
čār,cʾ
mīr,YMYTWN
bām,bʾm
ǰadag,ytk
handarz,hndlc'
husraw,hwslw'
kawād,kwʾtʾ
ēdōn,ʾytwn'
kawād,kwʾt
andar ēd ka,ḆYN HNA AMT
pēš az ān ka,pyš MN ZK AMT
būd,bwt
čiyōn ka,cygwn' AMT
bēd,byt
taxt,tʾht
aspānūr,ʾspʾnwl
barēd,YḆLWNyt
nih,HNHTW
wāng,wʾng
pahrēz,pʾhly
warz,wl
kū,AMT
dig,YTMAL
se,3
gām,gʾm
abzūd,ʾp̄zwt
bahr ī,bʾhl Y
rēman,lymn
baršnūm,blšnwm
šust,HLLWNstn
purs,pwl
xwadāy,hwtʾ
dād,YHBWNt
drōd,dlwt
rāyēn,lʾdy
kār,k'ʾl
warzīgarīh,wlcyklyh
zēn,zyn
rāst,lʾstʾ
saxwan,shw
guft,gwptʾ
handāz,hndʾ
appar,YHNCLW
spōz,spwc'
niger,nky
čiyōn,cygwn'
stabr,stpl
wider,wtyl
andak,ʾndk
škeft,škpt
rāst,lʾst'
wind,HŠKH
pārag,pʾlk
padīr,MKḆLW
kard ēstēd,krt YKOYMWNyt
enyā,ʾywp
widārd,wtʾltn
mihr,mtr
ǰuttarīh,ywdtlyh
bazag,b'ck
spōz,spwc
guft ēstēd,gwpt YKOYMWNyt
az kū,MN AYK
mad hēm,mt HWEm
hēm,HWEm
ō kū,OL AYK
šud,OZLWNtn
dānēm,YDOYTWNm
pēš,LOYN'
stōwēnīd,stwbynytn
hammōz,hmw
wirāy,wylʾ
husraw,hwslw
dān,dʾnʾ
māzdēsn,mʾzdysnʾ
pahlom,pʾhlwm
h,HW
māzdēsn,mʾzdysn'
kišwar,kyšwl
ašnaw,ʾšnw
frārōn,plʾlwn'
ušahin,ʾwšhyn'
rōy,lwd
gōmēz,gwmyc
gōspand,gwspnd
šōy,HLLW
pāk,DKYA
pōš,pw
nērang,nylng
māzdēsn,mʾzdysn
ēbyānghan,ʾybyʾnghn
band,bn
gētīg,gytyḵ
hišt ēstēd,ŠḆKWNt YKOYMWNyt
astwihād,ʾstwydʾt
abar ō,QDM OL
kirb,klp
wišōb,wšw
wīr,wyl
gyān,HYA
ak,ʾk
sōšāns,swšʾnš
pas,psy
ēk ō did,ʾywk OL TWḆ
ōwōn,ʾwgn
kār,ZLYTWN
abzāy,ʾp̄z
waxš,wh
šken,TBLWN
wazēn,wcyn
gugār,gwkʾ
ardā,ʾltʾy
pargan,pzkn
bē ō,BRA OL
kišt,ZLYTWNyt
ēg,ʾywp
frādahišnīh,plʾdhšnyh
be ō,BRA OL
dēn,dyn
nāf,nʾp̄
mihrōdruǰ,mtr'ʾwdlwc
kār,ZLYTW
dušmat,dwšmt
dušhūxt,dwšhwht
dušxwaršt,dwšhwwlšt
humat,hwmt
hūxt,hwht
huwaršt,hwwlšt
abespār,ʾp̄spʾ
axw,ʾhw
spenāg,spnʾk
abēzag,ʾp̄yck
pēšag,pyšk
ristag,lstk
wattom,wttwm
gannāg,gnnʾk
ǰādūg,yʾtwk
ahlomōγ,ʾhlmwk
ristag,lystk
widard hēnd,wtlt HWEd
būd hēnd,bwt HWEd
pattāyist,ptʾdst
widašt,wtštn
gīrēm,OHDWNm
frašgird,plškrt
zamān,zmʾn
pattāy,ptʾ
wider,wty
nāzuk,nʾcwk
anayād,ʾnʾḇyḏʾt
rōz pad rōz,YWM PWN YWM
anayādtar,ʾnʾḇyḏʾt
būd,YHWWNtʾ
pahikār,ptkʾlyn
drōn,dlwn
yaz,YḎBHWN
stāy,stʾ
bawēm,YHWWNm
dārēm,dʾlym
ē,y
ašmā,LKWM
wizārēm,wcʾlm
ārzōg,ʾlcwk
hišt hēnd,ŠḆKWNt HWEd
kōšk,kwšk
xand,GHBHW
wāz,wʾ
dīd hēm,dyt HWEym
spāh,spʾh
sālār,srdʾlyh
menīd,mynyt
raft hēnd,SGYTWNt HWEd
hēm,HWEym
rāh,ʾs
šud hēnd,OZLWNt HWEd
asāmān,ʾsʾmʾn
čē rāy ka,ME lʾd AMT
spinǰ,spnc
fradāg,MHL
hanǰām,hncʾm
dastwar,dstwblʾ
ōšbām,ʾwšbʾm
nasrušt,nslwšt'
anāstawānīh,ʾnʾstpʾnyh
pēš az ān kē,LOYN' MN ZK AMT
xwaršēd,hwlšyt
ul,LALA
zad bawēd,MHYTWNt YHWWNyt
čiyōn ka,cygwn AMT
šust hē,HLLWNst HWEyӯ
niyāyišn,nydʾdšn
nērōg,nylwk
baxt ēstēd,HLKWNt YKOYMWNyt
stambag,stʾmbk
saxt,sht
drāy,dlʾd
ǰōy,yw
dudīgar,dtykl
sidīgar,stykl
ǰōy,y
drāy,dl
ābustan,ʾp̄wstn'
bēwar,bywl
zāy,Y̱LYDW
dam,d
zafr,zpl
šāwēd,OZLWNyt
mizag,myck
čāšnīg,cʾšnyk
ahreman,ʾhlmn
dēwān,ŠDYAʾn
ǰōyē,ywdydy
arzān,lcʾn
taz,t
urwar,ʾwlwl
sōr,sw
ōh,KN
wattarān,wtlʾn'
guft hād,gwpt HWEʾt
ēd rāy,HNA lʾd
ahreman,ʾhlmn'
dēsīd,dhsyt
hašt dah,18
drāyīd,dlʾyt
pašt,pšt
āwāšēm,HTYMWNm
šāyist,šʾdst'
zanēm,znm
ōzanēm,Y̱KTLWNm
wizār,wcʾl
zan,z
kard ēstēd,krt' YKOYMWNyt
wizār,wcʾ
kunēm,OḆYDWNm
dandān,dndʾn
freš,plyš
mālīdan,mʾlytn'
ēd rāy čē,HNA lʾd ME
mēzd,myzd
pēš az,pyš MN
freh,plyh
wišūd,wšwt
māl,mʾlyn
zēn,zyn'
dēw,šʾn
az ān ī,MN ZK Y
gumārd ēstēd,gwmʾlt' YKOYMWNyt
druwand,dlwnd
nimāy,nmʾdyn
andarōn,ʾndlwn
wēn,wy
tištar,tyštl
sadwēs,stwys
wanand,wnnd
haftōring,hp̄twḵlng
arγand,ʾlgnd
wēn,HẔYTWN
mard,GB
wēn,wyn
niger,nkyln
būd hē,HWEydy
hāmōyēn,hymwdyn
murnǰēn,mlncyn
ēd,HNA
burd,YḆLWNt
niyābag,nydʾp̄k
aštar,ʾštl
rist,lyst
tān,tʾn
rist,lyst'
wirāyēm,wylʾdyym
weh,ŠPYLʾ
nimūd,nmwt
padīrift hēd,MKḆLWNt HWEyt
hōm,hwm
kun,OḆYD
dārēm,YHSNNm
xwad,hwt
xwābar,hwʾp̄'l
kadām,ktʾm
ōzad,Y̱KTLWNtn
pahrēxt,pʾhlyhtn
hamāg,hmʾy
bēšīd bawēd,byšyt YHWWNyt
dād,dʾt'
dah,dh
ganǰ,gnc
gōšt,BSLYA
murd,mwlt
petyāragēn,ptydʾlkynyt
yār,yʾ
būd,YHWWNyt
petyārag,ptydʾlk
anespās,ʾnspʾs
mihrōdruǰ,mtr'ʾwdlwc'
widēr,wtyl
šabag,špk
tāzag,tʾck
nasrušt,nslwšt
widašt,wtš
rasīd bawēd,lsyt YHWWNyt
az ān ǰādag rāy,MN ZK yʾtk lʾd
ras,l
kand,HPLWNtn
frazaft,plcpt'
zamān,ODNA
hangārd,hngʾltn
nāmčišt,nʾmcšt
stāyēnīdārīh,stʾdynytʾlyh
dārīh,dʾlyh
gōwēm,YMLLWNym
zōhr,zwhl
mahist,mhyst'
būd ēstēd,YHWWNt YKOYMWNyt
haft,7
amahraspand,ʾmhrsp̄nd
spandarmad,spndrmt
nērang,nylnk'
bālāy,bʾlʾ
miharg,mytlg
pāy,pʾ
dō,TLYN'
star,stl
se,TLTA
pay,pʾ
čahār,ALBA
panǰ,HWMŠYA
harburz,hlbwlc
šaš,ŠTA
asar,ʾsl
haft,hp̄t
brāz,blʾcʾ
hu,hw'
hamāgzōhr,hmʾk
arzah,ʾlcʾh
sawah,swʾh
fradadafš,pldtdpš
wīdadafš,wydtdpš
wōrūbaršt,wʾwlwblšt
wōrūǰaršt,wʾwlwclšt'
xwanirah,hwnyls
farrōbay,plwbʾy
gušnasp,gwšnsp̄
burz,bwrcy
abārīg,ʾp̄ʾryk
nišāst ēstēnd,nšʾst YKOYMWNd
ahē,KZY
sōz,swc
yaz,yc
bawānd,YHWWNʾnd
gōyōd,gwyʾwt
tag,tḵ
rašn,lšn'
razistag,lẕystk
wahrām,wlhlʾm
amāwand,ʾmʾwnd
sīh,30
rōz,lw
paydāgēnīd ēstēd,pytʾkynyt YKOYMWNyt
wāspuhr,wʾspwhl
framādār,plmʾtʾl
pādixšāy,pʾthšʾyhʾ
xwarāsān,hwlʾsʾn
xwarwarān,hwlblʾn
nēm,nym
moγān,mgwgʾn
handarzbed,hndlcpt
hazārbed,hcʾlpt
yaz,yʾc
dahād,YHBWNʾt
zōr,zwt
ērān,ʾylʾn
abrang,ʾp̄lng
ǰam,ym
šēd,šyt
huram,hwl
padīrād,MKḆLWNʾt
mērag,mylk
kunād,OḆYDWNʾt
zīw,zyw
abzōn,ʾp̄zwn
abestāg,ʾp̄stʾk
stāy,stʾdyn
hāmōyēn,hymwdyn'
xwaš,BSYM
hamwār,hmwʾl
raγ,lgyӯ
šāy,šʾd
zarr,ZHBA
asēm,ʾsym
ǰaw,Šg
gandum,Hg
huniyāg,hwnydʾk
māh,BYRH
āsrōn,ʾslwn
artēštār,ʾltyštʾl
wāstaryōš,wʾstlywš
hutuxš,hwtwhš
xwān,hwʾn
huniyāgarān,hwnydʾklʾn
dar,dl
handāxt,hndʾht
sāxt,sʾht
im,mʾ
pih,pyhw
im,m
spās,sp̄ʾs
any tis,AHRN MNDOM
pēš ī,LOYN Y
sagr,sgl
ārd,ʾlt
snd,snd
xward ēstēd,OŠTENt YKOYMWNyt
xufs,HLMW
xwamn,hwmn
dahišnī,dhyšny
pahnāy,phnʾd
rōd,lwt
dranāy,dlnʾd
bālāy,bʾlʾd
nihād ēstēd,HNHTWNt YKOYMWNyt
panǰ,5
abarmānd,ʾp̄lmʾnd
wizārd,wcʾltn
raft,lptn
xuft,HLMWNtn
āzarm,ʾclm
dah,10
paywast,ptws
awināhīh,ʾwnʾsyh
wizēn,wcyn
rad,lt'
hammōxt,hmwh
wāzag,wʾck
warm,wlm
nask,nsk
yašt,yštn
panǰ,pnc
šabān,šp̄ʾn
šnāy,šnʾ
ēstād,YKOYMWNʾtn
hamēstār,hmystʾl
drahnāy,dlnʾd
āstawānīh,ʾstwpʾnyh
wašt,wštn
rad,lt
abāyist,ʾp̄ʾdstn
dusraw,dwslwb
ōyšān,ʾwyšʾn
dusraw,dwslwb'
pahrēz,pʾhlyc
drāz,dlʾc
