stem,stem_translit
pad,PWN
nām,ŠM
ī,Y
yaz,yẕ
abar,QDM
āmad,YATWNtn
šāh,šh
wahrām,wʾhlʾm
warz,wlc
kay,AYMT
bawād,YHWWNʾt
ka,AMT
payg,pdk
ē,I
āy,YATW
az,MN
hindūgān,hndwkʾn
mad,mt
ān,ZK
dūdag,dwt
kay,kd
pīl,pyl
ast,AYT
hazār,1000
sar,sl
ast,AYT'
ārāst,ʾlʾs
drafš,dlpš
dār,dʾ
ēwēn,ʾdwyn
husraw,hwslwḇ
pēš,pyš
laškar,lškl
bar,YḆLWN
spāh,sp̄ʾh
sālār,srdʾl
mard,GBRA
payg,BSYL
abāy,ʾp̄
kardan,krtn
zīrak,zylk'
targumān,tlgmʾn
šaw,OZLW
be,BRA
gōw,YMLLW
amā,LNE
čē,ME
dīd,dyt
dašt,dšt
tāzīg,tʾcyk
ēk,ʾywk
grōh,glwh
dēn,dyn'
nizār,nzʾl
kard,krt'
ud,W
ōzad,Y̱KTWNt
šāh,MLK
šāh,MLKA
kē,MN
ēr,ʾyl
ōyšān,OLEšʾn
čiyōn,cygwn
dēwān,ŠDYAʾ
dār,YHSNN
sag,KLBA
xwar,OŠTEN
nān,LHMA
stad hēnd,YNSḆWNt HWEd
pādixšāy,pʾthšʾ
nē,LA
hunar,hwnl
mard,mlt
bē,BRA
afsōs,ʾp̄sws
riyahrīh,ldʾhlyh
gīr,OHDWN
stahm,sthmb'
mardōm,ANŠWTA
zan,NYŠE
xwāstag,hwʾstk
šīr,šyly
bāγ,bʾg
bōy,bwd
gazīdag,gzytk
nihād hēnd,HNHTWNt HWEd
baxt hēnd,HLKWNt HWEd
abāz,LAWHL
asarīg,ʾslyk
xwāst hēnd,BOYHWNst HWEd
sāg,sʾḵ
garān,glʾn
niger,nkyl
čand,cnd
wad,SLYA
abgand,LMYTWNt
druz,dlwc
ēn,ẔNE
gēhān,gyhʾn
nēst,LOYT
wattar,SLYtl
ōy,OLE
andar,wwt'
dūdag,dwtk
āwarēm,YHYTYWNym
kēn,kyn'
rōdstahm,lwtsthm
āwurd,YHYTYWNt
ē,1
sad,100
kēn,kyn
syāwaxš,sydʾwhš
mazgit,mzgt
frōd,plwt
hilēm,ŠḆKWNym
nišānēm,nšʾnym
ātaxš,ʾthš
uzdēszār,ʾwzdys͟ncʾl
kanēm,HP̱LWNym
pāk,pʾk
kunēm,OḆYDWNym
tā,OD
wany,HWBDN'
šaw,OZLWN
wišūd,wšwtk
frazaft,plcpt
drōd,ŠRM
šādīh,šʾtyh
handarz,hndlc
anōšag,ʾnwšk
ruwān,lwbʾn
ādurbād,ʾtwrpʾt
māraspand,mʾrspnd
paydāg,pytʾk
kū,AYK
rāy,lʾd
frazand,prznd
tan,tn
zād,zʾt
būd,YHWWNt
pas,AHL
