,<S>,ADJ,ADV,CONJ,DET,EZ,N,NUM,PART,POST,PREP,PRON,Unknown,V
<S>,2.9291142e-08,0.021675475,0.059461046,0.44141755,0.017867627,0.0032220548,0.24604562,0.04569421,0.0002929407,0.0002929407,0.085823074,0.03163446,2.9291142e-08,0.046572946
ADJ,0.10861584,0.041675672,0.05916649,0.22565316,0.006694038,0.038868506,0.19866116,0.009933079,0.0010797017,0.005398422,0.09004534,0.009501207,0.00043189363,0.20427549
ADV,0.018489603,0.09661458,0.077083334,0.040104177,0.01640627,0.010677106,0.1677083,0.005468774,0.0039062747,0.0039062747,0.121093735,0.019270852,2.6041658e-08,0.4192707
CONJ,0.00019722905,0.078887686,0.07514052,0.04131743,0.040922992,0.007987387,0.48042592,0.03323144,0.0009861058,0.001873592,0.14949214,0.040035505,0.0020708113,0.047431223
DET,0.0006146891,0.06822373,0.009834103,0.03380458,0.038721602,0.017824262,0.6656418,0.09465271,0.0018439443,0.0012293167,0.009834103,0.04179474,6.1462764e-08,0.01598038
EZ,0.00024410537,0.29558206,0.0053698053,0.0036612386,0.023431797,0.0007322673,0.51745164,0.01684161,0.00024410537,0.0004881863,0.051257025,0.08201122,0.0004881863,0.002196753
N,0.03588401,0.05838425,0.06362138,0.18126272,0.012753374,0.17103092,0.16429056,0.011153142,0.002715551,0.020221127,0.13374066,0.012462423,0.00067889143,0.13180098
NUM,0.005759605,0.028077798,0.012959022,0.10655144,0.012239081,0.026637914,0.6234696,0.014398905,0.0007200137,0.0035997804,0.07703383,0.043196574,0.0014399553,0.043916516
PART,7.99991e-07,0.00800071,0.016000621,0.072,7.99991e-07,7.99991e-07,0.056000173,7.99991e-07,0.00800071,7.99991e-07,0.03200044,0.03200044,7.99991e-07,0.7759921
POST,0.03368804,0.090425484,0.10992898,0.046099354,0.03368804,0.0017732226,0.26241088,0.014184539,0.005319313,0.0017732226,0.17553166,0.026595855,1.7730453e-07,0.19858125
PREP,0.0005746443,0.031317346,0.027869567,0.0021548767,0.06478954,0.009625066,0.6237608,0.029880773,0.0012929318,0.0007183018,0.0067519164,0.046257727,0.0015802467,0.15342622
PRON,0.014598582,0.088633984,0.081856094,0.20490085,0.015641334,0.023461975,0.21272148,0.008342069,0.0010428042,0.030239863,0.1272158,0.022419222,0.0005214282,0.16840452
Unknown,0.051724613,0.051724613,0.08620654,0.18965232,0.017242687,0.017242687,0.17241135,0.03448365,1.7240964e-06,1.7240964e-06,0.17241135,0.017242687,1.7240964e-06,0.18965232
V,0.25323862,0.023044353,0.0643996,0.3246138,0.014574001,0.009217748,0.12132535,0.015196821,0.0022421645,0.0017439085,0.09653711,0.022421533,0.00062283245,0.05069756
