cycle,epoch,loss,step,val_loss
,0,,9,2.1896917819976807
0.0,0,2.234468698501587,9,
,1,,19,2.1053965091705322
1.0,1,2.146385669708252,19,
,2,,29,2.0071895122528076
2.0,2,2.0542550086975098,29,
,3,,39,1.9123743772506714
3.0,3,1.9501787424087524,39,
,4,,49,1.8263696432113647
4.0,4,1.8471256494522095,49,
,5,,59,1.750822901725769
5.0,5,1.752185344696045,59,
,6,,69,1.6848739385604858
6.0,6,1.6677100658416748,69,
,7,,79,1.6271640062332153
7.0,7,1.5934135913848877,79,
,8,,89,1.576364278793335
8.0,8,1.5280994176864624,89,
,9,,99,1.5313152074813843
9.0,9,1.4704127311706543,99,
,10,,109,1.4910510778427124
10.0,10,1.4191323518753052,109,
,11,,119,1.4547830820083618
11.0,11,1.3732285499572754,119,
,12,,129,1.421892523765564
12.0,12,1.3318575620651245,129,
,13,,139,1.391897439956665
13.0,13,1.2943480014801025,139,
,14,,149,1.3644009828567505
14.0,14,1.2601516246795654,149,
,15,,159,1.339079737663269
15.0,15,1.2288174629211426,159,
,16,,169,1.3156673908233643
16.0,16,1.1999726295471191,169,
,17,,179,1.2939395904541016
17.0,17,1.17330801486969,179,
,18,,189,1.2737065553665161
18.0,18,1.148564100265503,189,
,19,,199,1.2548052072525024
19.0,19,1.1255214214324951,199,
,20,,209,1.2370989322662354
20.0,20,1.1039927005767822,209,
,21,,219,1.2204715013504028
21.0,21,1.0838181972503662,219,
,22,,229,1.2048214673995972
22.0,22,1.0648612976074219,229,
,23,,239,1.1900569200515747
23.0,23,1.047003984451294,239,
,24,,249,1.1760979890823364
24.0,24,1.0301440954208374,249,
,25,,259,1.162879467010498
25.0,25,1.0141911506652832,259,
,26,,269,1.150342345237732
26.0,26,0.9990658164024353,269,
,27,,279,1.1384320259094238
27.0,27,0.9846988320350647,279,
,28,,289,1.1270993947982788
28.0,28,0.971028208732605,289,
,29,,299,1.1163008213043213
29.0,29,0.9579984545707703,299,
,30,,309,1.1059983968734741
30.0,30,0.9455599188804626,309,
,31,,319,1.0961560010910034
31.0,31,0.9336684346199036,319,
,32,,329,1.0867424011230469
32.0,32,0.9222841262817383,329,
,33,,339,1.0777283906936646
33.0,33,0.9113714694976807,339,
,34,,349,1.0690875053405762
34.0,34,0.9008979797363281,349,
,35,,359,1.060797095298767
35.0,35,0.8908340334892273,359,
,36,,369,1.0528358221054077
36.0,36,0.8811532258987427,369,
,37,,379,1.0451833009719849
37.0,37,0.8718317151069641,379,
,38,,389,1.0378220081329346
38.0,38,0.8628470301628113,389,
,39,,399,1.030734658241272
39.0,39,0.8541793823242188,399,
,40,,409,1.023905873298645
40.0,40,0.8458102345466614,409,
,41,,419,1.017322301864624
41.0,41,0.8377222418785095,419,
,42,,429,1.0109690427780151
42.0,42,0.8298995494842529,429,
,43,,439,1.0048332214355469
43.0,43,0.8223278522491455,439,
,44,,449,0.998903751373291
44.0,44,0.8149935007095337,449,
,45,,459,0.9931707382202148
45.0,45,0.8078837990760803,459,
,46,,469,0.9876256585121155
46.0,46,0.800987720489502,469,
,47,,479,0.9822593927383423
47.0,47,0.7942945957183838,479,
,48,,489,0.9770628809928894
48.0,48,0.7877944707870483,489,
,49,,499,0.972027599811554
49.0,49,0.7814780473709106,499,
