output,underlay
label-WM_desc-preproc_mask,desc-preproc_T1w
label-GM_desc-preproc_mask,desc-preproc_T1w
label-CSF_desc-preproc_mask,desc-preproc_T1w

label-WM_mask,desc-preproc_T1w
label-GM_mask,desc-preproc_T1w
label-CSF_mask,desc-preproc_T1w

desc-preproc_bold,desc-preproc_T1w
