PMM_BomHeadRoutingRel.Part;PMM_BomHeadRoutingRel.PMM_Routing_ID;PMM_BomHeadRoutingRel.BasicRouting;PMM_BomHeadRoutingRel.IsMRPBaseProcess
;;no;no
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Teil;Part;PMM_BomHeadRoutingRel.Part;CHARACTER;x(20);
2;Prozess;Routing;PMM_BomHeadRoutingRel.PMM_Routing_ID;CHARACTER;x(20);
3;Basisprozess;Basic Routing;PMM_BomHeadRoutingRel.BasicRouting;LOGICAL;ja/nein;
4;BPro DispoBer;Basic Routing MRP;PMM_BomHeadRoutingRel.IsMRPBaseProcess;LOGICAL;ja/nein;
