https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C7732185&Type=IsoBar&Digits=6&P=1.01325&THigh=99&TLow=1&TInc=1&RefState=DEF&TUnit=C&PUnit=bar&DUnit=g%2Fml&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm
Temperature (C)	Pressure (bar)	Density (g/ml)
1.00000	1.01325	0.9999022
2.00000	1.01325	0.9999432
3.00000	1.01325	0.9999671
4.00000	1.01325	0.99997565
5.00000	1.01325	0.99996794
6.00000	1.01325	0.99994376
7.00000	1.01325	0.99990414
8.00000	1.01325	0.99985109
9.00000	1.01325	0.99978463
10.0000	1.01325	0.99970277
11.0000	1.01325	0.99960854
12.0000	1.01325	0.99950093
13.0000	1.01325	0.99938097
14.0000	1.01325	0.999247
15.0000	1.01325	0.999103
16.0000	1.01325	0.998946
17.0000	1.01325	0.998778
18.0000	1.01325	0.998599
19.0000	1.01325	0.998408
20.0000	1.01325	0.998207
21.0000	1.01325	0.997995
22.0000	1.01325	0.997773
23.0000	1.01325	0.997541
24.0000	1.01325	0.997299
25.0000	1.01325	0.997048
26.0000	1.01325	0.996786
27.0000	1.01325	0.996516
28.0000	1.01325	0.996236
29.0000	1.01325	0.995947
30.0000	1.01325	0.995649
31.0000	1.01325	0.995343
32.0000	1.01325	0.995028
33.0000	1.01325	0.994705
34.0000	1.01325	0.994373
35.0000	1.01325	0.994033
36.0000	1.01325	0.993685
37.0000	1.01325	0.993330
38.0000	1.01325	0.992966
39.0000	1.01325	0.992595
40.0000	1.01325	0.992216
41.0000	1.01325	0.991830
42.0000	1.01325	0.991437
43.0000	1.01325	0.991036
44.0000	1.01325	0.990628
45.0000	1.01325	0.990213
46.0000	1.01325	0.989791
47.0000	1.01325	0.989362
48.0000	1.01325	0.988926
49.0000	1.01325	0.988484
50.0000	1.01325	0.988035
51.0000	1.01325	0.987579
52.0000	1.01325	0.987117
53.0000	1.01325	0.986649
54.0000	1.01325	0.986174
55.0000	1.01325	0.985693
56.0000	1.01325	0.985206
57.0000	1.01325	0.984712
58.0000	1.01325	0.984213
59.0000	1.01325	0.983707
60.0000	1.01325	0.983196
61.0000	1.01325	0.982678
62.0000	1.01325	0.982155
63.0000	1.01325	0.981626
64.0000	1.01325	0.981091
65.0000	1.01325	0.980551
66.0000	1.01325	0.980005
67.0000	1.01325	0.979453
68.0000	1.01325	0.978896
69.0000	1.01325	0.978333
70.0000	1.01325	0.977765
71.0000	1.01325	0.977191
72.0000	1.01325	0.976612
73.0000	1.01325	0.976028
74.0000	1.01325	0.975438
75.0000	1.01325	0.974843
76.0000	1.01325	0.974243
77.0000	1.01325	0.973637
78.0000	1.01325	0.973027
79.0000	1.01325	0.972411
80.0000	1.01325	0.971790
81.0000	1.01325	0.971165
82.0000	1.01325	0.970534
83.0000	1.01325	0.969898
84.0000	1.01325	0.969257
85.0000	1.01325	0.968611
86.0000	1.01325	0.967961
87.0000	1.01325	0.967305
88.0000	1.01325	0.966645
89.0000	1.01325	0.965980
90.0000	1.01325	0.965310
91.0000	1.01325	0.964635
92.0000	1.01325	0.963955
93.0000	1.01325	0.963271
94.0000	1.01325	0.962582
95.0000	1.01325	0.961888
96.0000	1.01325	0.961189
97.0000	1.01325	0.960486
98.0000	1.01325	0.959778
99.0000	1.01325	0.959066
