cycle,epoch,loss,step,val_loss
,0,,9,2.153467893600464
0.0,0,2.21903657913208,9,
,1,,19,2.0483014583587646
1.0,1,2.0867836475372314,19,
,2,,29,1.9568674564361572
2.0,2,1.9668360948562622,29,
,3,,39,1.8777929544448853
3.0,3,1.8625853061676025,39,
,4,,49,1.8097572326660156
4.0,4,1.773258924484253,49,
,5,,59,1.7511621713638306
5.0,5,1.6970152854919434,59,
,6,,69,1.7004870176315308
6.0,6,1.6317172050476074,69,
,7,,79,1.6563093662261963
7.0,7,1.5753424167633057,79,
,8,,89,1.6174192428588867
8.0,8,1.5261833667755127,89,
,9,,99,1.5828832387924194
9.0,9,1.4828965663909912,99,
