cycle,epoch,loss,step,val_loss
,0,,9,2.12931227684021
0.0,0,2.2027626037597656,9,
,1,,19,2.0159718990325928
1.0,1,2.069157600402832,19,
,2,,29,1.9104373455047607
2.0,2,1.9467600584030151,29,
,3,,39,1.8163716793060303
3.0,3,1.832338571548462,39,
,4,,49,1.732796311378479
4.0,4,1.7289166450500488,49,
,5,,59,1.6524747610092163
5.0,5,1.6345446109771729,59,
,6,,69,1.579972743988037
6.0,6,1.5463191270828247,69,
,7,,79,1.5154950618743896
7.0,7,1.4664123058319092,79,
,8,,89,1.4584189653396606
8.0,8,1.3947068452835083,89,
,9,,99,1.4076519012451172
9.0,9,1.330711007118225,99,
