# https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C7732185&Type=SatP&Digits=5&THigh=310&TLow=5&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=mol%2Fl&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm
#
Temperature (C)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
17.000	0.0019384	55.438	0.018038	1.2855	1.2855	4.5656	75.085	75.426	1472.6	-0.22709	1079.8	0.59252	0.073188	0.00080446	1243.1	43.205	45.614	157.34	25.819	34.273	421.09	350.09	9.4512	0.017882
18.000	0.0020647	55.428	0.018041	1.3609	1.3609	4.8251	75.021	75.410	1475.9	-0.22636	1052.7	0.59436	0.073038	0.00085400	1171.0	43.229	45.647	156.93	25.835	34.294	421.79	339.91	9.4820	0.017950
19.000	0.0021983	55.418	0.018045	1.4363	1.4363	5.0836	74.956	75.396	1479.1	-0.22563	1026.7	0.59617	0.072887	0.00090617	1103.5	43.254	45.680	156.52	25.851	34.314	422.49	330.09	9.5130	0.018019
20.000	0.0023393	55.406	0.018048	1.5117	1.5117	5.3412	74.890	75.382	1482.2	-0.22492	1001.6	0.59795	0.072736	0.00096107	1040.5	43.278	45.713	156.12	25.868	34.335	423.18	320.63	9.5441	0.018087
21.000	0.0024882	55.395	0.018052	1.5871	1.5871	5.5979	74.823	75.370	1485.2	-0.22421	977.56	0.59971	0.072584	0.0010188	981.52	43.303	45.745	155.72	25.884	34.356	423.87	311.51	9.5752	0.018156
22.000	0.0026453	55.382	0.018056	1.6624	1.6625	5.8537	74.755	75.359	1488.2	-0.22352	954.42	0.60144	0.072432	0.0010796	926.31	43.328	45.778	155.32	25.901	34.377	424.56	302.71	9.6065	0.018225
23.000	0.0028111	55.370	0.018060	1.7378	1.7378	6.1086	74.686	75.349	1491.0	-0.22283	932.15	0.60314	0.072279	0.0011434	874.60	43.352	45.811	154.93	25.917	34.399	425.25	294.24	9.6379	0.018294
24.000	0.0029858	55.356	0.018065	1.8131	1.8132	6.3626	74.616	75.341	1493.8	-0.22214	910.70	0.60481	0.072126	0.0012104	826.15	43.377	45.843	154.54	25.934	34.420	425.94	286.06	9.6694	0.018364
25.000	0.0031699	55.342	0.018069	1.8885	1.8885	6.6157	74.545	75.333	1496.5	-0.22147	890.04	0.60646	0.071972	0.0012808	780.73	43.401	45.876	154.15	25.951	34.442	426.63	278.19	9.7009	0.018433
26.000	0.0033639	55.328	0.018074	1.9638	1.9639	6.8679	74.474	75.326	1499.2	-0.22080	870.12	0.60808	0.071818	0.0013548	738.14	43.426	45.909	153.77	25.968	34.464	427.31	270.59	9.7326	0.018503
27.000	0.0035681	55.313	0.018079	2.0391	2.0392	7.1193	74.401	75.319	1501.7	-0.22014	850.91	0.60968	0.071663	0.0014323	698.17	43.450	45.941	153.39	25.985	34.486	427.99	263.27	9.7643	0.018573
28.000	0.0037831	55.297	0.018084	2.1144	2.1145	7.3698	74.328	75.314	1504.2	-0.21948	832.38	0.61126	0.071507	0.0015137	660.65	43.474	45.974	153.01	26.002	34.508	428.67	256.21	9.7962	0.018644
29.000	0.0040092	55.281	0.018089	2.1897	2.1898	7.6194	74.253	75.309	1506.6	-0.21884	814.50	0.61281	0.071351	0.0015989	625.42	43.499	46.006	152.64	26.019	34.531	429.35	249.41	9.8281	0.018715
30.000	0.0042470	55.265	0.018095	2.2651	2.2651	7.8683	74.178	75.305	1509.0	-0.21819	797.22	0.61434	0.071194	0.0016883	592.31	43.523	46.039	152.26	26.036	34.553	430.03	242.84	9.8602	0.018786
31.000	0.0044969	55.248	0.018100	2.3404	2.3404	8.1162	74.103	75.302	1511.3	-0.21755	780.54	0.61584	0.071037	0.0017819	561.19	43.548	46.071	151.90	26.054	34.576	430.71	236.52	9.8923	0.018857
32.000	0.0047596	55.230	0.018106	2.4157	2.4157	8.3634	74.026	75.299	1513.5	-0.21692	764.41	0.61733	0.070879	0.0018800	531.93	43.572	46.104	151.53	26.071	34.600	431.38	230.41	9.9245	0.018928
33.000	0.0050354	55.212	0.018112	2.4910	2.4910	8.6098	73.949	75.297	1515.6	-0.21630	748.81	0.61879	0.070721	0.0019826	504.39	43.596	46.136	151.17	26.089	34.623	432.05	224.53	9.9567	0.019000
34.000	0.0053251	55.194	0.018118	2.5663	2.5663	8.8553	73.871	75.296	1517.7	-0.21567	733.72	0.62023	0.070562	0.0020899	478.48	43.621	46.169	150.81	26.107	34.647	432.72	218.85	9.9891	0.019072
35.000	0.0056290	55.175	0.018124	2.6415	2.6416	9.1001	73.792	75.295	1519.7	-0.21506	719.12	0.62165	0.070402	0.0022023	454.08	43.645	46.201	150.46	26.125	34.671	433.39	213.37	10.022	0.019144
36.000	0.0059479	55.156	0.018131	2.7168	2.7169	9.3440	73.713	75.294	1521.6	-0.21444	704.98	0.62305	0.070242	0.0023197	431.09	43.669	46.233	150.11	26.143	34.695	434.06	208.09	10.054	0.019217
37.000	0.0062823	55.136	0.018137	2.7921	2.7922	9.5872	73.633	75.295	1523.5	-0.21384	691.29	0.62442	0.070081	0.0024424	409.43	43.694	46.266	149.76	26.161	34.720	434.73	202.99	10.087	0.019289
38.000	0.0066328	55.116	0.018144	2.8674	2.8675	9.8295	73.552	75.295	1525.3	-0.21323	678.03	0.62578	0.069920	0.0025706	389.01	43.718	46.298	149.41	26.179	34.744	435.39	198.07	10.119	0.019362
39.000	0.0070002	55.095	0.018150	2.9427	2.9428	10.071	73.470	75.296	1527.1	-0.21263	665.18	0.62712	0.069759	0.0027046	369.75	43.742	46.330	149.07	26.198	34.770	436.05	193.32	10.152	0.019436
40.000	0.0073849	55.074	0.018157	3.0180	3.0182	10.312	73.388	75.297	1528.7	-0.21203	652.72	0.62844	0.069596	0.0028444	351.57	43.766	46.362	148.73	26.217	34.795	436.71	188.73	10.185	0.019509
41.000	0.0077878	55.053	0.018164	3.0933	3.0935	10.552	73.306	75.299	1530.4	-0.21144	640.63	0.62973	0.069434	0.0029903	334.41	43.790	46.395	148.39	26.235	34.821	437.37	184.30	10.218	0.019583
42.000	0.0082096	55.031	0.018172	3.1686	3.1688	10.791	73.222	75.301	1531.9	-0.21085	628.91	0.63101	0.069270	0.0031425	318.21	43.814	46.427	148.05	26.255	34.847	438.03	180.03	10.251	0.019657
43.000	0.0086508	55.009	0.018179	3.2439	3.2441	11.030	73.139	75.304	1533.4	-0.21027	617.53	0.63227	0.069106	0.0033013	302.91	43.839	46.459	147.72	26.274	34.874	438.68	175.90	10.284	0.019732
44.000	0.0091124	54.986	0.018186	3.3192	3.3194	11.268	73.054	75.307	1534.9	-0.20968	606.48	0.63351	0.068942	0.0034669	288.44	43.863	46.491	147.39	26.293	34.901	439.33	171.91	10.317	0.019806
45.000	0.0095950	54.963	0.018194	3.3945	3.3947	11.505	72.969	75.310	1536.3	-0.20910	595.75	0.63474	0.068777	0.0036394	274.77	43.887	46.523	147.06	26.313	34.928	439.99	168.05	10.350	0.019881
46.000	0.010099	54.940	0.018202	3.4698	3.4700	11.741	72.884	75.314	1537.6	-0.20853	585.33	0.63594	0.068611	0.0038192	261.84	43.911	46.555	146.74	26.333	34.956	440.63	164.32	10.383	0.019957
47.000	0.010627	54.916	0.018210	3.5452	3.5453	11.977	72.798	75.318	1538.9	-0.20795	575.21	0.63712	0.068445	0.0040064	249.60	43.935	46.587	146.42	26.354	34.984	441.28	160.72	10.416	0.020032
48.000	0.011177	54.892	0.018218	3.6205	3.6207	12.212	72.711	75.322	1540.1	-0.20738	565.37	0.63829	0.068279	0.0042013	238.02	43.959	46.619	146.10	26.374	35.013	441.93	157.24	10.450	0.020108
49.000	0.011752	54.867	0.018226	3.6958	3.6960	12.446	72.624	75.327	1541.3	-0.20681	555.80	0.63944	0.068112	0.0044042	227.05	43.983	46.651	145.78	26.395	35.042	442.57	153.87	10.483	0.020184
50.000	0.012352	54.842	0.018234	3.7711	3.7713	12.679	72.537	75.332	1542.4	-0.20624	546.50	0.64057	0.067944	0.0046154	216.67	44.006	46.683	145.47	26.416	35.071	443.21	150.61	10.516	0.020261
51.000	0.012978	54.817	0.018243	3.8465	3.8467	12.912	72.449	75.337	1543.5	-0.20568	537.45	0.64169	0.067776	0.0048350	206.83	44.030	46.715	145.16	26.437	35.101	443.85	147.45	10.550	0.020338
52.000	0.013631	54.791	0.018251	3.9218	3.9220	13.144	72.361	75.342	1544.5	-0.20512	528.64	0.64279	0.067607	0.0050633	197.50	44.054	46.746	144.85	26.459	35.132	444.48	144.40	10.583	0.020415
53.000	0.014312	54.765	0.018260	3.9971	3.9974	13.375	72.272	75.348	1545.5	-0.20455	520.07	0.64387	0.067438	0.0053007	188.65	44.078	46.778	144.54	26.481	35.163	445.12	141.45	10.617	0.020492
54.000	0.015022	54.739	0.018269	4.0725	4.0728	13.606	72.183	75.354	1546.4	-0.20399	511.73	0.64493	0.067268	0.0055474	180.26	44.102	46.810	144.24	26.503	35.194	445.75	138.59	10.651	0.020570
55.000	0.015762	54.712	0.018277	4.1478	4.1481	13.836	72.093	75.361	1547.2	-0.20344	503.61	0.64598	0.067098	0.0058037	172.30	44.126	46.841	143.94	26.526	35.227	446.38	135.82	10.684	0.020648
56.000	0.016533	54.685	0.018286	4.2232	4.2235	14.065	72.003	75.367	1548.0	-0.20288	495.69	0.64701	0.066927	0.0060699	164.75	44.149	46.873	143.64	26.548	35.259	447.01	133.14	10.718	0.020726
57.000	0.017336	54.658	0.018296	4.2986	4.2989	14.294	71.913	75.374	1548.8	-0.20232	487.98	0.64802	0.066755	0.0063463	157.57	44.173	46.905	143.34	26.572	35.292	447.64	130.54	10.752	0.020805
58.000	0.018171	54.630	0.018305	4.3739	4.3743	14.522	71.823	75.381	1549.5	-0.20177	480.47	0.64901	0.066584	0.0066332	150.76	44.197	46.936	143.05	26.595	35.326	448.26	128.02	10.786	0.020884
59.000	0.019041	54.602	0.018314	4.4493	4.4497	14.749	71.732	75.389	1550.2	-0.20122	473.15	0.64999	0.066411	0.0069309	144.28	44.220	46.967	142.76	26.619	35.361	448.88	125.58	10.820	0.020963
60.000	0.019946	54.574	0.018324	4.5247	4.5251	14.976	71.641	75.396	1550.8	-0.20066	466.02	0.65096	0.066238	0.0072397	138.13	44.244	46.999	142.47	26.644	35.396	449.50	123.21	10.854	0.021043
61.000	0.020888	54.545	0.018333	4.6001	4.6005	15.202	71.549	75.404	1551.4	-0.20011	459.06	0.65191	0.066065	0.0075600	132.28	44.267	47.030	142.18	26.668	35.431	450.12	120.91	10.887	0.021123
62.000	0.021867	54.516	0.018343	4.6755	4.6759	15.427	71.457	75.412	1551.9	-0.19956	452.27	0.65284	0.065891	0.0078920	126.71	44.291	47.061	141.89	26.693	35.467	450.73	118.68	10.921	0.021204
63.000	0.022885	54.487	0.018353	4.7509	4.7514	15.652	71.365	75.421	1552.4	-0.19901	445.65	0.65375	0.065716	0.0082362	121.42	44.314	47.093	141.61	26.719	35.504	451.35	116.52	10.956	0.021284
64.000	0.023943	54.457	0.018363	4.8264	4.8268	15.876	71.273	75.430	1552.9	-0.19846	439.19	0.65465	0.065541	0.0085929	116.38	44.338	47.124	141.33	26.745	35.542	451.96	114.42	10.990	0.021366
65.000	0.025042	54.427	0.018373	4.9018	4.9022	16.099	71.180	75.439	1553.3	-0.19791	432.88	0.65554	0.065366	0.0089623	111.58	44.361	47.155	141.05	26.771	35.580	452.57	112.39	11.024	0.021447
66.000	0.026183	54.397	0.018383	4.9772	4.9777	16.322	71.087	75.448	1553.6	-0.19736	426.73	0.65640	0.065190	0.0093449	107.01	44.384	47.186	140.78	26.798	35.619	453.17	110.41	11.058	0.021529
67.000	0.027368	54.366	0.018394	5.0527	5.0532	16.544	70.994	75.458	1553.9	-0.19682	420.72	0.65726	0.065013	0.0097411	102.66	44.408	47.217	140.50	26.825	35.659	453.77	108.48	11.092	0.021611
68.000	0.028599	54.335	0.018404	5.1281	5.1287	16.766	70.901	75.467	1554.2	-0.19627	414.86	0.65809	0.064836	0.010151	98.511	44.431	47.248	140.23	26.853	35.699	454.37	106.62	11.126	0.021694
69.000	0.029876	54.304	0.018415	5.2036	5.2041	16.987	70.808	75.478	1554.4	-0.19572	409.13	0.65891	0.064659	0.010576	94.558	44.454	47.279	139.96	26.881	35.740	454.97	104.80	11.160	0.021777
70.000	0.031201	54.273	0.018426	5.2791	5.2796	17.207	70.714	75.488	1554.6	-0.19517	403.53	0.65972	0.064481	0.011015	90.789	44.477	47.310	139.69	26.909	35.782	455.57	103.04	11.195	0.021860
71.000	0.032575	54.241	0.018436	5.3546	5.3552	17.427	70.621	75.499	1554.8	-0.19462	398.06	0.66051	0.064302	0.011469	87.194	44.500	47.341	139.42	26.938	35.825	456.16	101.32	11.229	0.021944
72.000	0.034000	54.209	0.018447	5.4301	5.4307	17.646	70.527	75.510	1554.9	-0.19407	392.72	0.66129	0.064123	0.011938	83.764	44.523	47.371	139.16	26.968	35.868	456.75	99.654	11.263	0.022028
73.000	0.035478	54.176	0.018458	5.5056	5.5062	17.864	70.433	75.521	1554.9	-0.19352	387.50	0.66205	0.063944	0.012424	80.492	44.546	47.402	138.90	26.998	35.913	457.34	98.032	11.298	0.022113
74.000	0.037009	54.143	0.018469	5.5811	5.5818	18.082	70.339	75.532	1555.0	-0.19297	382.39	0.66280	0.063764	0.012925	77.367	44.569	47.433	138.64	27.028	35.958	457.93	96.452	11.332	0.022198
75.000	0.038595	54.110	0.018481	5.6566	5.6573	18.299	70.244	75.544	1554.9	-0.19242	377.40	0.66353	0.063583	0.013444	74.384	44.592	47.463	138.38	27.059	36.004	458.51	94.915	11.367	0.022283
76.000	0.040239	54.077	0.018492	5.7322	5.7329	18.516	70.150	75.556	1554.9	-0.19187	372.52	0.66424	0.063402	0.013979	71.535	44.615	47.494	138.12	27.091	36.050	459.09	93.419	11.401	0.022369
77.000	0.041941	54.044	0.018504	5.8077	5.8085	18.732	70.056	75.569	1554.8	-0.19132	367.74	0.66495	0.063220	0.014532	68.812	44.638	47.524	137.87	27.123	36.098	459.67	91.962	11.435	0.022455
78.000	0.043703	54.010	0.018515	5.8833	5.8841	18.948	69.961	75.581	1554.7	-0.19076	363.07	0.66563	0.063038	0.015103	66.210	44.661	47.554	137.62	27.155	36.147	460.25	90.542	11.470	0.022542
79.000	0.045527	53.976	0.018527	5.9589	5.9597	19.162	69.867	75.594	1554.5	-0.19021	358.51	0.66631	0.062856	0.015693	63.723	44.683	47.584	137.36	27.188	36.196	460.82	89.160	11.504	0.022629
80.000	0.047414	53.941	0.018539	6.0345	6.0353	19.377	69.772	75.608	1554.3	-0.18965	354.04	0.66697	0.062673	0.016301	61.345	44.706	47.615	137.12	27.222	36.246	461.39	87.812	11.539	0.022717
81.000	0.049367	53.907	0.018551	6.1101	6.1110	19.591	69.677	75.621	1554.1	-0.18910	349.66	0.66761	0.062489	0.016929	59.070	44.729	47.645	136.87	27.256	36.298	461.96	86.499	11.573	0.022805
82.000	0.051387	53.872	0.018563	6.1857	6.1866	19.804	69.583	75.635	1553.8	-0.18854	345.38	0.66824	0.062305	0.017577	56.894	44.751	47.675	136.62	27.291	36.350	462.52	85.219	11.608	0.022893
83.000	0.053476	53.836	0.018575	6.2613	6.2623	20.017	69.488	75.650	1553.5	-0.18798	341.19	0.66885	0.062121	0.018245	54.811	44.774	47.705	136.38	27.327	36.403	463.08	83.970	11.643	0.022982
84.000	0.055635	53.801	0.018587	6.3370	6.3380	20.229	69.393	75.664	1553.2	-0.18742	337.08	0.66946	0.061936	0.018933	52.817	44.796	47.735	136.14	27.363	36.457	463.64	82.752	11.677	0.023072
85.000	0.057867	53.765	0.018599	6.4126	6.4137	20.440	69.299	75.679	1552.8	-0.18686	333.06	0.67004	0.061750	0.019643	50.908	44.818	47.764	135.90	27.399	36.512	464.20	81.564	11.712	0.023162
86.000	0.060173	53.729	0.018612	6.4883	6.4894	20.651	69.204	75.695	1552.4	-0.18629	329.13	0.67062	0.061565	0.020375	49.080	44.841	47.794	135.66	27.437	36.569	464.75	80.404	11.746	0.023252
87.000	0.062556	53.693	0.018625	6.5640	6.5652	20.862	69.109	75.710	1551.9	-0.18573	325.27	0.67118	0.061378	0.021129	47.328	44.863	47.824	135.42	27.474	36.626	465.30	79.272	11.781	0.023343
88.000	0.065017	53.656	0.018637	6.6397	6.6409	21.072	69.015	75.726	1551.4	-0.18516	321.49	0.67172	0.061191	0.021906	45.650	44.885	47.853	135.19	27.513	36.684	465.85	78.167	11.816	0.023434
89.000	0.067558	53.619	0.018650	6.7154	6.7167	21.281	68.920	75.742	1550.9	-0.18459	317.79	0.67225	0.061004	0.022706	44.041	44.907	47.883	134.95	27.552	36.743	466.40	77.088	11.850	0.023526
90.000	0.070182	53.582	0.018663	6.7912	6.7925	21.490	68.826	75.759	1550.4	-0.18402	314.17	0.67277	0.060816	0.023530	42.499	44.929	47.912	134.72	27.592	36.804	466.94	76.034	11.885	0.023618
91.000	0.072890	53.545	0.018676	6.8669	6.8683	21.698	68.731	75.776	1549.8	-0.18345	310.61	0.67328	0.060628	0.024378	41.020	44.952	47.941	134.49	27.632	36.865	467.48	75.004	11.920	0.023711
92.000	0.075684	53.507	0.018689	6.9427	6.9441	21.906	68.637	75.794	1549.2	-0.18287	307.13	0.67377	0.060439	0.025252	39.601	44.973	47.971	134.26	27.674	36.928	468.01	73.998	11.954	0.023804
93.000	0.078568	53.469	0.018702	7.0185	7.0199	22.113	68.542	75.811	1548.6	-0.18230	303.71	0.67424	0.060250	0.026150	38.240	44.995	48.000	134.03	27.716	36.992	468.55	73.015	11.989	0.023898
94.000	0.081541	53.431	0.018716	7.0943	7.0958	22.320	68.448	75.830	1547.9	-0.18172	300.36	0.67471	0.060060	0.027075	36.934	45.017	48.029	133.81	27.758	37.057	469.08	72.053	12.024	0.023993
95.000	0.084608	53.392	0.018729	7.1701	7.1717	22.526	68.354	75.848	1547.2	-0.18114	297.08	0.67516	0.059870	0.028027	35.680	45.039	48.058	133.58	27.801	37.123	469.61	71.113	12.059	0.024088
96.000	0.087771	53.354	0.018743	7.2459	7.2476	22.732	68.260	75.867	1546.4	-0.18055	293.86	0.67559	0.059679	0.029005	34.476	45.061	48.087	133.36	27.845	37.191	470.13	70.193	12.093	0.024183
97.000	0.091030	53.315	0.018756	7.3218	7.3235	22.937	68.166	75.886	1545.7	-0.17997	290.70	0.67602	0.059488	0.030012	33.320	45.082	48.115	133.14	27.890	37.259	470.65	69.293	12.128	0.024279
98.000	0.094390	53.276	0.018770	7.3977	7.3994	23.142	68.072	75.906	1544.9	-0.17938	287.60	0.67643	0.059296	0.031046	32.210	45.104	48.144	132.92	27.936	37.329	471.17	68.413	12.163	0.024375
99.000	0.097852	53.236	0.018784	7.4736	7.4754	23.346	67.978	75.926	1544.0	-0.17879	284.56	0.67683	0.059104	0.032110	31.143	45.125	48.173	132.70	27.982	37.400	471.68	67.551	12.197	0.024473
100.00	0.10142	53.196	0.018798	7.5495	7.5514	23.550	67.884	75.946	1543.2	-0.17819	281.58	0.67721	0.058912	0.033203	30.117	45.147	48.201	132.49	28.029	37.473	472.20	66.707	12.232	0.024570
101.00	0.10509	53.157	0.018812	7.6254	7.6274	23.753	67.791	75.967	1542.3	-0.17759	278.66	0.67758	0.058719	0.034327	29.132	45.168	48.229	132.27	28.076	37.546	472.70	65.881	12.267	0.024668
102.00	0.10887	53.116	0.018827	7.7014	7.7034	23.956	67.698	75.989	1541.3	-0.17699	275.78	0.67794	0.058525	0.035481	28.184	45.189	48.258	132.06	28.125	37.621	473.21	65.072	12.302	0.024767
103.00	0.11277	53.076	0.018841	7.7774	7.7795	24.158	67.604	76.010	1540.4	-0.17639	272.96	0.67829	0.058332	0.036667	27.273	45.210	48.286	131.84	28.174	37.698	473.71	64.280	12.336	0.024867
104.00	0.11678	53.035	0.018855	7.8534	7.8556	24.360	67.511	76.033	1539.4	-0.17578	270.20	0.67862	0.058137	0.037885	26.396	45.232	48.314	131.63	28.224	37.775	474.21	63.503	12.371	0.024967
105.00	0.12090	52.994	0.018870	7.9294	7.9317	24.561	67.418	76.055	1538.4	-0.17517	267.48	0.67894	0.057943	0.039135	25.552	45.253	48.342	131.42	28.275	37.854	474.71	62.742	12.406	0.025067
106.00	0.12515	52.953	0.018885	8.0054	8.0078	24.762	67.326	76.078	1537.4	-0.17456	264.81	0.67924	0.057747	0.040419	24.741	45.274	48.370	131.22	28.327	37.935	475.20	61.996	12.441	0.025168
107.00	0.12952	52.912	0.018899	8.0815	8.0839	24.962	67.233	76.102	1536.3	-0.17395	262.19	0.67954	0.057552	0.041737	23.960	45.294	48.398	131.01	28.380	38.017	475.69	61.264	12.475	0.025270
108.00	0.13401	52.870	0.018914	8.1576	8.1601	25.162	67.141	76.125	1535.2	-0.17333	259.62	0.67982	0.057356	0.043090	23.207	45.315	48.425	130.80	28.433	38.100	476.17	60.547	12.510	0.025373
109.00	0.13863	52.828	0.018929	8.2337	8.2363	25.362	67.048	76.150	1534.1	-0.17270	257.09	0.68009	0.057159	0.044478	22.483	45.336	48.453	130.60	28.487	38.185	476.66	59.843	12.545	0.025476
110.00	0.14338	52.786	0.018945	8.3098	8.3125	25.561	66.956	76.174	1532.9	-0.17208	254.61	0.68035	0.056962	0.045902	21.786	45.357	48.480	130.40	28.542	38.271	477.13	59.153	12.580	0.025579
111.00	0.14826	52.743	0.018960	8.3860	8.3888	25.759	66.865	76.200	1531.7	-0.17145	252.17	0.68059	0.056765	0.047362	21.114	45.377	48.508	130.19	28.598	38.359	477.61	58.475	12.614	0.025683
112.00	0.15328	52.701	0.018975	8.4621	8.4650	25.957	66.773	76.225	1530.5	-0.17082	249.78	0.68082	0.056567	0.048861	20.466	45.398	48.535	129.99	28.655	38.448	478.08	57.810	12.649	0.025788
113.00	0.15844	52.658	0.018991	8.5383	8.5414	26.155	66.682	76.252	1529.3	-0.17018	247.42	0.68104	0.056368	0.050397	19.842	45.418	48.562	129.79	28.713	38.539	478.55	57.157	12.684	0.025894
114.00	0.16374	52.614	0.019006	8.6146	8.6177	26.352	66.590	76.278	1528.0	-0.16954	245.11	0.68125	0.056170	0.051973	19.241	45.438	48.589	129.60	28.772	38.631	479.02	56.515	12.718	0.026000
115.00	0.16918	52.571	0.019022	8.6908	8.6940	26.549	66.499	76.305	1526.7	-0.16889	242.84	0.68145	0.055970	0.053588	18.661	45.458	48.616	129.40	28.831	38.725	479.48	55.886	12.753	0.026107
116.00	0.17477	52.527	0.019038	8.7671	8.7704	26.745	66.409	76.333	1525.4	-0.16824	240.60	0.68163	0.055771	0.055243	18.102	45.479	48.642	129.20	28.892	38.820	479.94	55.267	12.788	0.026215
117.00	0.18052	52.484	0.019054	8.8434	8.8469	26.941	66.318	76.361	1524.1	-0.16759	238.40	0.68180	0.055571	0.056940	17.562	45.499	48.669	129.01	28.953	38.917	480.39	54.659	12.822	0.026323
118.00	0.18641	52.439	0.019070	8.9198	8.9233	27.136	66.228	76.389	1522.7	-0.16693	236.25	0.68196	0.055370	0.058678	17.042	45.519	48.695	128.82	29.015	39.016	480.84	54.061	12.857	0.026432
