# https://webbook.nist.gov/cgi/fluid.cgi?Action=Data&Wide=on&ID=C7732185&Type=SatP&Digits=5&THigh=310&TLow=5&TInc=1&RefState=DEF&TUnit=C&PUnit=MPa&DUnit=mol%2Fl&HUnit=kJ%2Fmol&WUnit=m%2Fs&VisUnit=uPa*s&STUnit=N%2Fm
#
Temperature (C)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
5.0000	0.00087258	55.504	0.018017	0.37866	0.37868	1.3737	75.760	75.763	1426.0	-0.23676	1518.3	0.56772	0.074942	0.00037758	2648.4	42.908	45.219	162.58	25.628	34.038	412.60	505.82	9.0902	0.017083
6.0000	0.00093536	55.503	0.018017	0.45441	0.45442	1.6456	75.711	75.721	1430.4	-0.23588	1471.6	0.57001	0.074799	0.00040331	2479.5	42.933	45.252	162.13	25.644	34.057	413.32	490.15	9.1196	0.017149
7.0000	0.0010021	55.500	0.018018	0.53011	0.53013	1.9163	75.661	75.683	1434.8	-0.23502	1427.2	0.57225	0.074655	0.00043056	2322.6	42.958	45.285	161.67	25.659	34.076	414.03	475.02	9.1491	0.017214
8.0000	0.0010730	55.498	0.018019	0.60577	0.60579	2.1859	75.609	75.647	1439.0	-0.23417	1384.8	0.57444	0.074511	0.00045940	2176.8	42.983	45.318	161.22	25.675	34.095	414.74	460.42	9.1788	0.017280
9.0000	0.0011483	55.494	0.018020	0.68140	0.68142	2.4544	75.556	75.614	1443.1	-0.23333	1344.5	0.57660	0.074366	0.00048991	2041.2	43.007	45.351	160.77	25.690	34.114	415.46	446.32	9.2085	0.017346
10.000	0.0012282	55.489	0.018021	0.75700	0.75702	2.7219	75.502	75.584	1447.1	-0.23251	1306.0	0.57871	0.074221	0.00052217	1915.1	43.032	45.384	160.33	25.706	34.134	416.17	432.72	9.2384	0.017412
11.000	0.0013130	55.484	0.018023	0.83257	0.83260	2.9883	75.446	75.555	1451.0	-0.23170	1269.2	0.58079	0.074075	0.00055627	1797.7	43.057	45.417	159.89	25.722	34.153	416.88	419.60	9.2685	0.017479
12.000	0.0014028	55.478	0.018025	0.90811	0.90814	3.2537	75.389	75.529	1454.9	-0.23090	1234.1	0.58283	0.073929	0.00059229	1688.4	43.081	45.450	159.46	25.738	34.173	417.58	406.94	9.2986	0.017545
13.000	0.0014981	55.471	0.018027	0.98363	0.98366	3.5180	75.330	75.505	1458.6	-0.23012	1200.5	0.58483	0.073782	0.00063032	1586.5	43.106	45.483	159.03	25.754	34.193	418.29	394.73	9.3289	0.017612
14.000	0.0015990	55.464	0.018030	1.0591	1.0592	3.7814	75.271	75.483	1462.2	-0.22935	1168.4	0.58680	0.073634	0.00067045	1491.5	43.131	45.516	158.60	25.770	34.212	418.99	382.96	9.3593	0.017679
15.000	0.0017058	55.456	0.018032	1.1346	1.1346	4.0438	75.210	75.462	1465.8	-0.22858	1137.6	0.58874	0.073486	0.00071279	1402.9	43.155	45.549	158.18	25.786	34.233	419.69	371.60	9.3898	0.017747
16.000	0.0018188	55.447	0.018035	1.2100	1.2101	4.3052	75.148	75.443	1469.2	-0.22783	1108.1	0.59064	0.073337	0.00075742	1320.3	43.180	45.581	157.76	25.802	34.253	420.39	360.65	9.4204	0.017814
