,0
StCroix_base_damage_rp10,38235110.57129795
StCroix_base_damage_rp50,73830300.86905365
StCroix_base_damage_rp100,93344378.01311366
StCroix_base_damage_rp500,169054146.93290153
StThomas_base_damage_rp10,10029013.013444528
StThomas_base_damage_rp50,14269860.782244049
StThomas_base_damage_rp100,21595171.0798159
StThomas_base_damage_rp500,53136902.13965099
StJohn_base_damage_rp10,10218293.342106525
StJohn_base_damage_rp50,14352091.601542205
StJohn_base_damage_rp100,16771384.68414447
StJohn_base_damage_rp500,26284895.87407437
StCroix_ecological_damage_rp10,31699761.751500547
StCroix_ecological_damage_rp50,58028849.7134572
StCroix_ecological_damage_rp100,78233646.65113024
StCroix_ecological_damage_rp500,148590075.36172616
StThomas_ecological_damage_rp10,7353741.424884181
StThomas_ecological_damage_rp50,12314142.63044862
StThomas_ecological_damage_rp100,17288887.570604224
StThomas_ecological_damage_rp500,47600624.7081522
StJohn_ecological_damage_rp10,9196180.041923923
StJohn_ecological_damage_rp50,12421891.669195756
StJohn_ecological_damage_rp100,14791141.057796024
StJohn_ecological_damage_rp500,23367963.63444256
StCroix_NoReef_damage_rp10,82573334.95819546
StCroix_NoReef_damage_rp50,132310426.36187719
StCroix_NoReef_damage_rp100,158023647.25765488
StCroix_NoReef_damage_rp500,220102545.8546815
StThomas_NoReef_damage_rp10,16666386.120887807
StThomas_NoReef_damage_rp50,26029778.97631523
StThomas_NoReef_damage_rp100,32852222.40559537
StThomas_NoReef_damage_rp500,75391865.9549817
StJohn_NoReef_damage_rp10,12726751.632942786
StJohn_NoReef_damage_rp50,16876403.562232558
StJohn_NoReef_damage_rp100,20555108.357546426
StJohn_NoReef_damage_rp500,28591062.645188637
StCroix_PostStorm_damage_rp10,38235110.57129795
StCroix_PostStorm_damage_rp50,73830300.86905365
StCroix_PostStorm_damage_rp100,93344378.01311366
StCroix_PostStorm_damage_rp500,169054146.93290153
StThomas_PostStorm_damage_rp10,10029013.013444528
StThomas_PostStorm_damage_rp50,14269860.782244049
StThomas_PostStorm_damage_rp100,21595171.0798159
StThomas_PostStorm_damage_rp500,53136902.13965099
StJohn_PostStorm_damage_rp10,10218293.342106525
StJohn_PostStorm_damage_rp50,14352091.601542205
StJohn_PostStorm_damage_rp100,16771384.68414447
StJohn_PostStorm_damage_rp500,26284895.87407437
StCroix_structural125_damage_rp10,29831257.908530176
StCroix_structural125_damage_rp50,59865051.75929871
StCroix_structural125_damage_rp100,80369623.75359982
StCroix_structural125_damage_rp500,149322273.44146204
StThomas_structural125_damage_rp10,7129232.137639873
StThomas_structural125_damage_rp50,12398037.996201053
StThomas_structural125_damage_rp100,17921766.27484628
StThomas_structural125_damage_rp500,48431098.31848532
StJohn_structural125_damage_rp10,9330237.73930748
StJohn_structural125_damage_rp50,12458001.914794972
StJohn_structural125_damage_rp100,14689766.03409406
StJohn_structural125_damage_rp500,23266461.50086422
StCroix_structural125w5_damage_rp10,30429784.131147742
StCroix_structural125w5_damage_rp50,51690773.610569865
StCroix_structural125w5_damage_rp100,73228348.84569216
StCroix_structural125w5_damage_rp500,148182445.82484457
StThomas_structural125w5_damage_rp10,7161315.854478348
StThomas_structural125w5_damage_rp50,11982840.695649235
StThomas_structural125w5_damage_rp100,16759112.242812717
StThomas_structural125w5_damage_rp500,47455418.19668026
StJohn_structural125w5_damage_rp10,9169477.538130164
StJohn_structural125w5_damage_rp50,12423924.72044576
StJohn_structural125w5_damage_rp100,14957090.746453546
StJohn_structural125w5_damage_rp500,23221459.704781692
