,0
StCroix_base_damage_rp10,54648.41310108299
StCroix_base_damage_rp50,98931.14714826463
StCroix_base_damage_rp100,123663.42151562004
StCroix_base_damage_rp500,218528.87365387168
StThomas_base_damage_rp10,12962.282414134017
StThomas_base_damage_rp50,18264.23113639982
StThomas_base_damage_rp100,27556.91511979401
StThomas_base_damage_rp500,66123.652555086
StJohn_base_damage_rp10,12989.005146288004
StJohn_base_damage_rp50,18227.7809859369
StJohn_base_damage_rp100,21206.94527565102
StJohn_base_damage_rp500,32963.355830557724
StCroix_ecological_damage_rp10,44661.37469518645
StCroix_ecological_damage_rp50,79133.40174883747
StCroix_ecological_damage_rp100,104281.6624143488
StCroix_ecological_damage_rp500,193081.1549944504
StThomas_ecological_damage_rp10,9659.852230770846
StThomas_ecological_damage_rp50,15713.828331101246
StThomas_ecological_damage_rp100,21930.278580124977
StThomas_ecological_damage_rp500,59335.37971202148
StJohn_ecological_damage_rp10,11671.597214911797
StJohn_ecological_damage_rp50,15741.80723728935
StJohn_ecological_damage_rp100,18709.45405057477
StJohn_ecological_damage_rp500,29391.932611973356
StCroix_NoReef_damage_rp10,110493.56809526181
StCroix_NoReef_damage_rp50,172649.04221350732
StCroix_NoReef_damage_rp100,205225.18754649488
StCroix_NoReef_damage_rp500,282364.34799611976
StThomas_NoReef_damage_rp10,21231.14400797823
StThomas_NoReef_damage_rp50,33071.18605061627
StThomas_NoReef_damage_rp100,41639.8576955151
StThomas_NoReef_damage_rp500,93448.95731309852
StJohn_NoReef_damage_rp10,16292.698966129992
StJohn_NoReef_damage_rp50,21389.243896614065
StJohn_NoReef_damage_rp100,25962.58765727167
StJohn_NoReef_damage_rp500,35738.69579205424
StCroix_PostStorm_damage_rp10,54648.41310108299
StCroix_PostStorm_damage_rp50,98931.14714826463
StCroix_PostStorm_damage_rp100,123663.42151562004
StCroix_PostStorm_damage_rp500,218528.87365387168
StThomas_PostStorm_damage_rp10,12962.282414134017
StThomas_PostStorm_damage_rp50,18264.23113639982
StThomas_PostStorm_damage_rp100,27556.91511979401
StThomas_PostStorm_damage_rp500,66123.652555086
StJohn_PostStorm_damage_rp10,12989.005146288004
StJohn_PostStorm_damage_rp50,18227.7809859369
StJohn_PostStorm_damage_rp100,21206.94527565102
StJohn_PostStorm_damage_rp500,32963.355830557724
StCroix_structural125_damage_rp10,42489.76851358419
StCroix_structural125_damage_rp50,81570.4466758503
StCroix_structural125_damage_rp100,106813.18650492381
StCroix_structural125_damage_rp500,193899.11867672802
StThomas_structural125_damage_rp10,9405.928038540387
StThomas_structural125_damage_rp50,15863.187421483184
StThomas_structural125_damage_rp100,22721.06552264905
StThomas_structural125_damage_rp500,60330.033169719114
StJohn_structural125_damage_rp10,11834.783857932758
StJohn_structural125_damage_rp50,15757.48602620549
StJohn_structural125_damage_rp100,18573.31301766935
StJohn_structural125_damage_rp500,29272.110241281942
StCroix_structural125w5_damage_rp10,43173.878565497274
StCroix_structural125w5_damage_rp50,71633.26069012271
StCroix_structural125w5_damage_rp100,98224.89070407387
StCroix_structural125w5_damage_rp500,192529.6152261223
StThomas_structural125w5_damage_rp10,9469.95733219326
StThomas_structural125w5_damage_rp50,15336.139010842473
StThomas_structural125w5_damage_rp100,21255.517014866404
StThomas_structural125w5_damage_rp500,59144.72193558217
StJohn_structural125w5_damage_rp10,11638.572208385798
StJohn_structural125w5_damage_rp50,15740.16414759911
StJohn_structural125w5_damage_rp100,18937.232858219864
StJohn_structural125w5_damage_rp500,29225.30666054585
