Fd_Libr,UID,Fd_Index,Fd_Name,Fd_Category,Fd_Type,Fd_DM,Fd_Conc,Fd_Locked,Fd_DE_Base,Fd_ADF,Fd_NDF,Fd_DNDF48_input,Fd_DNDF48_NDF,Fd_Lg,Fd_CP,Fd_St,Fd_dcSt,Fd_WSC,Fd_CPARU,Fd_CPBRU,Fd_CPCRU,Fd_dcRUP,Fd_CPs_CP,Fd_KdRUP,Fd_RUP_base,Fd_NPN_CP,Fd_NDFIP,Fd_ADFIP,Fd_Arg_CP,Fd_His_CP,Fd_Ile_CP,Fd_Leu_CP,Fd_Lys_CP,Fd_Met_CP,Fd_Phe_CP,Fd_Thr_CP,Fd_Trp_CP,Fd_Val_CP,Fd_CFat,Fd_FA,Fd_dcFA,Fd_Ash,Fd_C120_FA,Fd_C140_FA,Fd_C160_FA,Fd_C161_FA,Fd_C180_FA,Fd_C181t_FA,Fd_C181c_FA,Fd_C182_FA,Fd_C183_FA,Fd_OtherFA_FA,Fd_Ca,Fd_P,Fd_Pinorg_P,Fd_Porg_P,Fd_Na,Fd_Cl,Fd_K,Fd_Mg,Fd_S,Fd_Cr,Fd_Co,Fd_Cu,Fd_Fe,Fd_I,Fd_Mn,Fd_Mo,Fd_Se,Fd_Zn,Fd_B_Carotene,Fd_Biotin,Fd_Choline,Fd_Niacin,Fd_VitA,Fd_VitD,Fd_VitE,Fd_acCa_input,Fd_acPtot_input,Fd_acNa_input,Fd_acCl_input,Fd_acK_input,Fd_acCu_input,Fd_acFe_input,Fd_acMg_input,Fd_acMn_input,Fd_acZn_input
NRC 2020,NRC16F1068,252,"Zinc, organic generic",Vitamin/Mineral,Concentrate,98,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,80,,,,,,,,,,,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0.6,0.68,1,0.92,1,0.05,0.1,0.3,0.004,0.2
NRC 2020,NRC16F1088,272,Calf grower 14CP (Fed to calves only),Energy Source,Concentrate,88,100,1,3.61,8,18,0,50,1.2,16,0,90,,22,75,3,85,,5.4,41.501,,0.8,0.4,,,,,,,,,,,3,2,81,5,,,,,,,,,,,0.65,0.33,,100,0.2,0.15,0.6,0.14,0.2,,0.2,6,55,0.5,40,,0.3,50,,,,,3700,1100,67,,0.68,,,,,,,,
NRC 2020,NRC16F1093,277,Calf grower 16CP (Fed to calves only),Energy Source,Concentrate,87.7,100,1,2.67,10.06,24.79,0,49.11,2.91,18.8,15.1,90,4.2,22,75,3,85,,5.4,41.501,,2.51,1.47,,,,,,,,,,,6.8,5.8,81,8.03,,,,,,,,,,,0.65,0.33,,,0.2,0.15,0.6,0.14,0.2,,0.2,6,55,0.5,40,,0.3,50,,,,,3700,1100,67,0.6,0.68,1,0.92,1,0.05,0.1,0.3,0.004,0.2
NRC 2020,NRC16F1094,278,Calf starter 18CP high starch (Fed to calves only),Energy Source,Concentrate,88,100,1,3.2,7.78,17.37,0,54.25,1.96,20.6,37.92,90,7.68,,,,85,,,,0,1.26,0.63,,,,,,,,,,,3.73,3,81,8.01,,,,,,,,,,,0.75,0.37,80,20,0.22,0.17,0.6,0.15,0.2,0,0.2,6,60,0.5,40,0,0.3,55,,,,,3700,1100,67,0.6,0.68,1,0.92,1,0.05,0.1,0.3,0.004,0.2
NRC 2020,NRC16F1089,273,Calf starter 18CP low starch (Fed to calves only),Energy Source,Concentrate,87.5,100,1,3.21,14.2,29.5,0,60,2.19,20.7,20.7,87,3.5,,,,85,,,,,2.8,0.75,,,,,,,,,,,4.8,3.8,81,9.12,,,,,,,,,,,0.75,0.37,,100,0.22,0.17,0.6,0.15,,,0.2,6,60,0.5,40,,0.3,55,,,,,3700,1100,67,,,,,,,,,,
NRC 2020,NRC16F1096,280,Calf starter 22CP high starch (Fed to calves only),Energy Source,Concentrate,89,100,1,3.38,7,13.65,0,59.58,1.61,24.95,32.89,92,9.22,,,,85,,,,,1.11,0.63,,,,,,,,,,,3.18,2.2,81,8.79,,,,,,,,,,,0.75,0.37,,,0.22,0.17,0.6,0.15,,,0.2,6,60,0.5,40,,0.3,55,,,,,3700,1100,67,0.6,0.68,1,0.92,1,0.05,0.1,0.3,0.004,0.2
NRC 2020,NRC16F1095,279,Calf starter 22CP med starch (Fed to calves only),Energy Source,Concentrate,87.8,100,1,3.62,9.4,16.33,0,65.3,1.61,24.7,25.5,92,12,,,,85,,,,,2.1,1.1,,,,,,,,,,,3.3,2.3,81,7,,,,,,,,,,,0.75,0.37,,,0.22,0.17,0.6,0.15,0.2,,0.2,6,60,0.5,40,,0.3,55,,,,,3700,1100,67,0.6,0.68,1,0.92,1,0.05,0.1,0.3,0.004,0.2
NRC 2020,NRC16F1077,261,Casein,Calf Liquid Feed,Concentrate,91,100,1,5.29,0,0,0,0,0,92.7,0,0,0,,,,100,,,0,0,0,0,3.7,2.8,5.5,8.3,7.4,2.5,4.5,4.4,1.1,6.5,0.7,0,0,4,,,,,,,,,,,0.4,0.35,0,100,0.01,0.04,0.01,0.01,0.6,0,0.01,4,14,0,4,0,0.16,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NRC 2020,NRC16F1078,262,Milk replacer 20 CP 20 fat,Calf Liquid Feed,Concentrate,12.5,100,1,4.96,0,0,0,0,0,20.8,0,0,52.4,,,,,,,,0,,,,,,,,,,,,,20.8,20,80,6,,,,,,,,,,,0.8,0.6,70,30,0.4,0.32,1.1,0.15,0.2,0,0,5,85,0.5,60,0,0.3,65,,0.1,1000,10,11000,3200,200,0,0,0,0,0,0,0,0,0,0
NRC 2020,NRC16F1079,263,Milk replacer 26 CP 17 fat,Calf Liquid Feed,Concentrate,13,100,1,4.91,0,0,0,0,0,27.1,0,0,49.2,,,,,,,,0,0,0,,,,,,,,,,,17.7,17,80,6,,,,,,,,,,,0.8,0.6,,,0.4,0.32,1.1,0.15,0.2,,,5,85,0.5,60,0,0.3,65,,0.1,1000,10,11000,3200,200,,,,,,,,,,
