nombre,lat,lon,altura,region,red de datos,codigo DMC
Carriel Sur,-36.78055,-73.06639,13,BioBio,DMC,360019
Liceo Agricola El Huerton,-37.45694,-72.275,173,BioBio,DMC,370036
Aerodromo Gral Bernardo Ohiggins,-36.58583,-72.03667,155,Ñuble,DMC,360011
Termas de Chillan,-36.90361,-71.41,1708,Ñuble,DMC,360042
Husares,-37.79583,-72.68444,69,Araucania,DMC,370067
Regimiento Victoria,-38.22889,-72.34333,336,Araucania,DMC,380063
Aerodromo Maquehue,-38.76778,-72.63194,86,Araucania,DMC,380013
Aeropuerto Araucania,-38.93444,-72.65333,96,Araucania,DMC,380029
Villarrica,-39.19,-72.11222,393,Araucania,DMC,390028
Pudahuel,-33.37833,-70.78778,482,Metropolitana,DMC,330021
Aerodromo Rodelillo,-33.06528,-71.55639,330,Valparaiso,DMC,330007
Quinta Normal,-33.445,-70.68278,520,Metropolitana,DMC,330020
Aerodromo Santo Domingo,-33.65611,-71.61333,77,Valparaiso,DMC,330030
Aerodromo Curacavi,-33.41111,-71.16778,208,Metropolitana,DMC,330121
Aerodromo Torquemada,-32.94944,-71.47611,141,Valparaiso,DMC,320041
Cerro San Francisco,-33.45806,-70.94861,1068,Metropolitana,DMC,330111
Catapilco,-32.57,-71.30555,85,Valparaiso,DMC,320015
