BinaryAUROC,BinaryAccuracy,epoch,loss,step,val_BinaryAUROC,val_BinaryAccuracy,val_loss
,,0,,4,0.4000000059604645,0.3333333432674408,0.6939810514450073
0.36000001430511475,0.2666666805744171,0,0.6972709894180298,4,,,
,,1,,9,0.4000000059604645,0.2666666805744171,0.6906325817108154
0.40000003576278687,0.46666666865348816,1,0.6867488026618958,9,,,
