cycle,epoch,loss,step,val_loss
,0,,9,2.2001521587371826
0.0,0,2.2415738105773926,9,
,1,,19,2.1235907077789307
1.0,1,2.153073310852051,19,
,2,,29,2.0572893619537354
2.0,2,2.0721285343170166,29,
,3,,39,1.9998034238815308
3.0,3,1.9968650341033936,39,
,4,,49,1.9501398801803589
4.0,4,1.9290155172348022,49,
,5,,59,1.9073379039764404
5.0,5,1.8691902160644531,59,
,6,,69,1.8702787160873413
6.0,6,1.816963791847229,69,
,7,,79,1.8379391431808472
7.0,7,1.7713987827301025,79,
,8,,89,1.8094350099563599
8.0,8,1.73146390914917,89,
,9,,99,1.7840887308120728
9.0,9,1.696224331855774,99,
