district_code,lat,lon
AB1,57.1269,-2.13644
AB2,57.1713,-2.14152
AB3,57.0876,-2.59624
AB4,57.5343,-2.12713
AB5,57.4652,-2.64764
AB9,57.1466,-2.1142
AB10,57.1349,-2.1174
AB11,57.1371,-2.09346
AB12,57.1034,-2.10989
AB13,57.1124,-2.24269
AB14,57.1034,-2.27294
AB15,57.1387,-2.16754
AB16,57.1595,-2.15657
AB21,57.2075,-2.20006
AB22,57.1865,-2.11999
AB23,57.2081,-2.08983
AB24,57.1634,-2.10828
AB25,57.1535,-2.1144
AB30,56.8454,-2.47727
AB31,57.0669,-2.50473
AB32,57.1545,-2.31444
AB33,57.2261,-2.73678
AB34,57.0926,-2.80977
AB35,57.039,-3.14386
AB36,57.1962,-3.07247
AB37,57.3308,-3.35307
AB38,57.4854,-3.22722
AB39,56.9792,-2.21585
AB41,57.3717,-2.1168
AB42,57.5016,-1.8883
AB43,57.6578,-2.04466
AB44,57.6682,-2.49306
AB45,57.6522,-2.56718
AB51,57.2879,-2.40453
AB52,57.3423,-2.6025
AB53,57.5344,-2.40726
AB54,57.4657,-2.75608
AB55,57.5325,-2.97553
AB56,57.6735,-2.91924
AB99,57.1113,-2.09399
AL1,51.7487,-0.319476
AL2,51.7223,-0.331012
AL3,51.7754,-0.366668
AL4,51.7713,-0.296019
AL5,51.8146,-0.351512
AL6,51.8299,-0.199372
AL7,51.7987,-0.189436
AL8,51.8034,-0.210348
AL9,51.7469,-0.201744
AL10,51.7609,-0.231196
B1,52.4796,-1.90784
B2,52.4863,-1.89732
B3,52.4823,-1.90291
B4,52.4838,-1.89376
B5,52.4721,-1.89686
B6,52.5024,-1.88693
B7,52.4938,-1.87438
B8,52.49,-1.84278
B9,52.4781,-1.85282
B10,52.4701,-1.8533
B11,52.4554,-1.85981
B12,52.461,-1.88255
B13,52.4349,-1.88277
B14,52.4188,-1.89029
B15,52.468,-1.92336
B16,52.4755,-1.93224
B17,52.4615,-1.96292
B18,52.4916,-1.92231
B19,52.4963,-1.90612
B20,52.5134,-1.91884
B21,52.5051,-1.93631
B22,52.4117,-1.92883
B23,52.5276,-1.85161
B24,52.5197,-1.82882
B25,52.4613,-1.82632
B26,52.4607,-1.79265
B27,52.4458,-1.82377
B28,52.4279,-1.84318
B29,52.4377,-1.9454
B30,52.4211,-1.92811
B31,52.4091,-1.97326
B32,52.4511,-1.9945
B33,52.4808,-1.78802
B34,52.4957,-1.78168
B35,52.5172,-1.78993
B36,52.5045,-1.78008
B37,52.4784,-1.74179
B38,52.4011,-1.93393
B40,52.4586,-1.7244
B42,52.5347,-1.9042
B43,52.5476,-1.92824
B44,52.545,-1.88565
B45,52.3885,-2.00836
B46,52.5071,-1.69773
B47,52.3887,-1.88109
B48,52.3568,-1.95164
B49,52.2174,-1.86764
B50,52.1696,-1.85666
B60,52.3232,-2.04948
B61,52.3442,-2.06739
B62,52.46,-2.03744
B63,52.453,-2.06735
B64,52.4724,-2.06893
B65,52.4828,-2.04343
B66,52.4937,-1.96586
B67,52.4879,-1.97719
B68,52.4801,-2.00183
B69,52.5028,-2.02525
B70,52.5198,-2.00268
B71,52.5348,-1.99021
B72,52.5544,-1.82359
B73,52.5592,-1.83763
B74,52.5824,-1.85724
B75,52.5778,-1.81115
B76,52.5448,-1.7896
B77,52.6203,-1.67147
B78,52.6072,-1.67606
B79,52.648,-1.6819
B80,52.2779,-1.897
B90,52.4007,-1.8257
B91,52.414,-1.78077
B92,52.4354,-1.7742
B93,52.3832,-1.74208
B94,52.3528,-1.7912
