S_Bundesland.Bundesland (001);S_Bundesland.Bezeichnung (002);S_Bundesland.Staat (003);S_Bundesland.ISOAlpha2Code (004);S_Bundesland.SchluesselBundesland (005);S_Bundesland.FinanceOffice (006);S_Bundesland.ElsterPraefix (007);S_Bundesland.cIN_RoadPermit (008)
1;Burgenland;AT;;0;0;0;nein
2;Kärnten;AT;;0;0;0;nein
3;Niederösterreich;AT;;0;0;0;nein
4;Oberösterreich;AT;;0;0;0;nein
5;Salzburg;AT;;0;0;0;nein
6;Steiermark;AT;;0;0;0;nein
7;Tirol;AT;;0;0;0;nein
8;Vorarlberg;AT;;0;0;0;nein
9;Wien;AT;;0;0;0;nein
BAY;Bayern;DE;BY;9;9;9;nein
BDB;Brandenburg;DE;BB;12;12;3;nein
BER;Berlin;DE;BE;11;11;11;nein
BWÜ;Baden-Württemberg;DE;BW;8;8;28;nein
HB;Bremen;DE;HB;4;4;24;nein
HES;Hessen;DE;HE;6;6;26;nein
HH;Hamburg;DE;HH;2;2;22;nein
MVP;Mecklenburg-Vorpommern;DE;MV;13;13;4;nein
NIE;Niedersachsen;DE;NI;3;3;23;nein
NRW;Nordrhein-Westfalen;DE;NW;5;5;5;nein
RLP;Rheinland-Pfalz;DE;RP;7;7;27;nein
SAA;Saarland;DE;SL;10;10;1;nein
SAC;Sachsen;DE;SN;14;14;3;nein
SAH;Sachsen-Anhalt;DE;ST;15;15;3;nein
SWH;Schleswig-Holstein;DE;SH;1;1;21;nein
THÜ;Thüringen;DE;TH;16;16;4;nein
AK;Alaska;US;;0;0;0;nein
AL;Alabama;US;;0;0;0;nein
AR;Arkansas;US;;0;0;0;nein
AZ;Arizona;US;;0;0;0;nein
CA;California;US;;0;0;0;nein
CO;Colorado;US;;0;0;0;nein
CT;Connecticut;US;;0;0;0;nein
DC;District of Columbia;US;;0;0;0;nein
DE;Delaware;US;;0;0;0;nein
FL;Florida;US;;0;0;0;nein
GA;Georgia;US;;0;0;0;nein
HI;Hawaii;US;;0;0;0;nein
IA;Iowa;US;;0;0;0;nein
ID;Idaho;US;;0;0;0;nein
IL;Illinois;US;;0;0;0;nein
IN;Indiana;US;;0;0;0;nein
KS;Kansas;US;;0;0;0;nein
KY;Kentucky;US;;0;0;0;nein
LA;Louisiana;US;;0;0;0;nein
MA;Massachusetts;US;;0;0;0;nein
MD;Maryland;US;;0;0;0;nein
ME;Maine;US;;0;0;0;nein
MI;Michigan;US;;0;0;0;nein
MN;Minnesota;US;;0;0;0;nein
MO;Missouri;US;;0;0;0;nein
MS;Mississippi;US;;0;0;0;nein
MT;Montana;US;;0;0;0;nein
NC;North Carolina;US;;0;0;0;nein
ND;North Dakota;US;;0;0;0;nein
NE;Nebraska;US;;0;0;0;nein
NH;New Hampshire;US;;0;0;0;nein
NJ;New Jersey;US;;0;0;0;nein
NM;New Mexico;US;;0;0;0;nein
NV;Nevada;US;;0;0;0;nein
NY;New York;US;;0;0;0;nein
OH;Ohio;US;;0;0;0;nein
OK;Oklahoma;US;;0;0;0;nein
OR;Oregon;US;;0;0;0;nein
PA;Pennsylvania;US;;0;0;0;nein
RI;Rhode Island;US;;0;0;0;nein
SC;South Carolina;US;;0;0;0;nein
SD;South Dakota;US;;0;0;0;nein
TN;Tennessee;US;;0;0;0;nein
TX;Texas;US;;0;0;0;nein
UT;Utah;US;;0;0;0;nein
VA;Virginia;US;;0;0;0;nein
VT;Vermont;US;;0;0;0;nein
WA;Washington;US;;0;0;0;nein
WI;Wisconsin;US;;0;0;0;nein
WV;West Virginia;US;;0;0;0;nein
WY;Wyoming;US;;0;0;0;nein
