ID,Pred Formula (1),Pred Adduct (1),SIRIUS Score (1),Pred Formula (2),Pred Adduct (2),SIRIUS Score (2),Pred Formula (3),Pred Adduct (3),SIRIUS Score (3),Pred Formula (4),Pred Adduct (4),SIRIUS Score (4),Pred Formula (5),Pred Adduct (5),SIRIUS Score (5)
EMBL_MCF_2_0_HRMS_Library000347,C3H7NO2,[M - H]-,-0.0821399908595024,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000324,C3H6O3,[M - H]-,35.05902455061923,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000474,C3H6O3,[M - H]-,30.88015782516462,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000529,C4H4N2O2,[M - H]-,5.67752241940536,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000377,C2H7NO3S,[M - H]-,4.850575236590633,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000493,C7H14O2,[M - H]-,10.37076850028936,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000381,C5H12N2O2,[M - H]-,17.391916307517484,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000319,C4H6O5,[M - H]-,54.30869278939189,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000455,C5H9NO4,[M - H]-,54.523819548253854,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000492,C5H11NS2,[M - H]-,6.818290251711431,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000412,C5H10O5,[M - H]-,39.07270961259309,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000473,,,,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000472,C4H6N4O3,[M - H]-,24.075390253121785,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000378,C6H14N2O3,[M - H]-,49.68585751592587,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000302,C5H9NO3S,[M - H]-,24.065089956575903,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000328,C6H6O6,[M - H]-,25.454843906351776,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000465,C7H10O5,[M - H]-,120.00577598970769,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000308,C7H14N2O3,[M - H]-,29.366411096467075,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000366,C6H14N4O2,[M - H]-,16.705024134605743,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000318,C2H5N7O3,[M - H]-,49.53541704385859,,,,,,,,,,,,
EMBL_MCF_2_0_HRMS_Library000420,,,,,,,,,,,,,,,
