Element,units,STGFrm,STGCco,STGCrl,STGLim,STGTE_old,STGTE_8301fcorr,8301f,8301c,CS1,CS2,CS3,JCP,STGSw,STGBrine
Li,ng/L,84.37102405,19.86208979,62.12870978,33.96654534,143.755051,147.63507,62.53841,37.4814,87.24837,197.8185,273.4754,37.67971429,296.2564561,1065.775974
Be,ng/L,,,,,,,,,,,,,,
B,ng/L,1778.032869,418.5731878,5378.392991,1053.871857,930.8271,964.12498,1501.6479,5709.2891,2225.01191,5381.17525,420.76412,4717.527273,7956.896,10594.78
Na,ug/L,131.6695323,18.98347244,475.1745742,90.64825451,185.9872393,193.3439657,70.3486962,460.7149908,123.4550649,237.7142218,365.3074453,433.839208,22989.77,22989.77
Mg,ug/L,74.5698533,5.004700129,94.47647841,191.4384363,130.80951,133.43445,63.6791,99.89355,32.5687,80.44955,183.50275,97.22,2189.141191,2960.081645
Al,ng/L,1006.079589,371.4260754,2884.190752,66056.66787,1143.531544,1459.971021,2452.89162,1298.621424,538.2816831,1237.373333,2705.708631,47614.47881,0.898485215,6.07084605
Si,ng/L,,,,,,,,,,,,168513,,
P,ng/L,633.9584497,149.2424656,630.4716711,18870.79462,,,,,,,,597.0845493,30.84057383,
S,ng/L,32.8383108,16.41587414,213.8946434,63.30064461,,,,,,,,190.3859375,1615.345488,816.471095
Cl,ng/L,,,,,,,,,,,,,,
K,ng/L,5981.291132,3058.582747,7956.588276,116016.7354,,,,,,,,18301.33192,657413.5363,1106208.202
Ca,mg/L,40.078,40.078,40.078,40.078,40.078,40.078,40.078,40.078,40.078,40.078,40.078,40.078,0.58533919,0.118109866
Sc,ng/L,6.310096404,12.67329554,9.03768763,145.6693895,,,,,,,,,,
Ti,ng/L,,,,,,,,,,,,,,
V,ng/L,,,,,,,,,,,,15.98164705,,
Cr,ng/L,,,,,,,,,,,,13.73481885,,
Mn,ng/L,7833.252052,2717.737189,116.7471072,22014.77624,3221.237565,3205.085779,2713.939621,142.2895469,799.348613,1500.358118,2053.584272,51.94142812,2.192028155,
Fe,ng/L,453.1251877,143.3758179,1178.546851,108115.1507,,,1419.5799,862.2468,,,,4725.346154,0.089352,0.245718
Co,ng/L,121.7878674,30.97553826,26.98275662,104.8052477,,,,,,,,51.94112541,,
Ni,ng/L,606.9925446,151.7026903,310.3727187,1103.729387,,,,,,,,410.8538,,
Cu,ng/L,64.67942762,16.09980797,65.03522389,722.0207719,,,,,,,,68.58933331,148.6277394,145.4186664
Zn,ng/L,332.4462483,78.26238104,1320.193618,1803.927566,,,,,,,,50.31461537,0.2158497,
Ga,ng/L,,,,,,,,,,,,,,
Ge,ng/L,,,,,,,,,,,,,,
As,ng/L,,,,,,,,,,,,,,
Se,ng/L,,,,,,,,,,,,,,
Br,ng/L,,,,,,,,,,,,,,
Rb,ng/L,17.39070513,4.196363598,4.438491226,620.85546,,,,,,,,8.245128921,216.2762679,502.4993833
Sr,ug/L,123.3613369,226.3144397,768.1941479,61.10599147,130.37856,134.0586,117.4108,709.722,41.1814,79.7342,161.2208,724.3585228,22.43072,1.977609686
Y,ng/L,6.519720518,12.88160452,7.97865138,145.0439496,,,,,,,,,,
