Element,units,STGFrm,STGCco,STGCrl,STGLim,STGTE_old,STGTE_8301fcorr,8301f,8301c,CS1,CS2,CS3,JCP,STGSw,STGBrine
Zr,ng/L,,,,,,,,,,,,42.57120003,,
Nb,ng/L,,,,,,,,,,,,,,
Mo,ng/L,15.47487793,7.937331489,6.59129185,36.60504527,,,,,,,,7.069263203,16.002792,1.276002
Ru,ng/L,,,,,,,,,,,,,,
Rh,ng/L,,,,,,,,,,,,,,
Pd,ng/L,,,,,,,,,,,,,,
Ag,ng/L,,,,,,,,,,,,1.41135961,,
Cd,ng/L,20.54915313,5.00222329,2.467616708,30.86762489,15.73754,16.074773,65.19838,22.4822,4.49644,11.2411,20.23398,3.240677497,,
In,ng/L,,,,,,,,,,,,,,
Sn,ng/L,,,,,,,,,,,,6.13670336,,
Sb,ng/L,,,,,,,,,,,,,,
Te,ng/L,,,,,,,,,,,,,,
In,ng/L,,,,,,,,,,,,,,
Cs,ng/L,,,,,,,,,,,,0.219843557,,
Ba,ng/L,277.5918474,71.46623503,147.6774984,675.8825674,175.366579,411.981,535.5753,812.97584,215.60339,336.45115,417.47408,801.909489,10.8900311,2.5130841
La,ng/L,12.67791165,19.00313056,14.11749728,150.7773262,,,,,,,,,,
Ce,ng/L,147.2001943,152.7252929,148.2173798,285.6792351,,,,,,,,,0.5324408,11.139222
Pr,ng/L,6.127115245,12.49130268,7.769579904,144.3915583,,,,,,,,,,
Nd,ng/L,123.1916274,40.09612858,7.58723661,144.2074936,811.92696,809.33064,729.8544,23.0784,164.4336,1123.6296,1618.3728,,0.43272,0.418296
Sm,ng/L,7.581923148,13.93742834,7.579778413,144.1999909,,,,,,,,,,
Eu,ng/L,6.140306924,12.50438646,7.600415027,144.2207511,,,,,,,,,,
Gd,ng/L,6.920562436,13.28000121,8.378220559,145.0032113,,,,,,,,,,
Tb,ng/L,6.119618397,12.48383465,7.548190491,144.1685062,,,,,,,,,,
Dy,ng/L,6.129426713,12.49357086,7.589569,144.20984,,,,,,,,,,
Ho,ng/L,6.102262187,12.46658035,7.562492567,144.1828665,,,,,,,,,,
Er,ng/L,6.20980984,12.57347588,7.66969958,144.2904502,,,,,,,,,,
Tm,ng/L,6.087909324,12.45230837,8.545472142,145.1716336,,,,,,,,,,
Yb,ng/L,6.959602007,13.31862353,8.417094739,144.164032,,,,,,,,,,
Lu,ng/L,6.259565502,12.62294295,7.719300836,144.3405044,,,,,,,,,,
Hf,ng/L,,,,,,,,,,,,,,
Ta,ng/L,,,,,,,,,,,,,,
W,ng/L,,,,,,,,,,,,28.28307695,,
Re,ng/L,,,,,,,,,,,,,,
O,ng/L,,,,,,,,,,,,,,
Ir,ng/L,,,,,,,,,,,,,,
Pt,ng/L,,,,,,,,,,,,,,
Au,ng/L,,,,,,,,,,,,,,
Hg,pg/L,1024.532971,241.7801233,1005.88485,960.5016938,,,,,,,,,,
Tl,pg/L,1035.162654,244.2886282,1019.389271,10323.35683,,,,,,,,,,
Pb,ng/L,,,,,,,,,,,,17.93076933,,
Bi,ng/L,,,,,,,,,,,,,,
Th,pg/L,6087.912199,12452.31429,7548.187373,144168.4462,,,,,,,,,,
Pa,ng/L,,,,,,,,,,,,,,
U,pg/L,7283.684646,13446.82253,251411.6846,144601.727,37981.55908,38067.48752,16352.58612,197302.1635,942.5944836,5567.496205,11327.79583,290035.2265,499.860711,428.452038
