cycle,epoch,loss,step,val_loss
,0,,9,2.1648805141448975
0.0,0,2.239032030105591,9,
,1,,19,2.0760271549224854
1.0,1,2.133838415145874,19,
,2,,29,1.9850410223007202
2.0,2,2.03336763381958,29,
,3,,39,1.8956573009490967
3.0,3,1.9287925958633423,39,
,4,,49,1.8135358095169067
4.0,4,1.8257784843444824,49,
,5,,59,1.7394858598709106
5.0,5,1.7311007976531982,59,
,6,,69,1.6733763217926025
6.0,6,1.646616816520691,69,
,7,,79,1.6146864891052246
7.0,7,1.571884036064148,79,
,8,,89,1.562609076499939
8.0,8,1.5057601928710938,89,
,9,,99,1.5162752866744995
9.0,9,1.4471123218536377,99,
,10,,109,1.4749411344528198
10.0,10,1.3947830200195312,109,
,11,,119,1.4378355741500854
11.0,11,1.3479650020599365,119,
,12,,129,1.4043331146240234
12.0,12,1.3058669567108154,129,
,13,,139,1.373918056488037
13.0,13,1.2678025960922241,139,
,14,,149,1.3461523056030273
14.0,14,1.2331969738006592,149,
,15,,159,1.320671558380127
15.0,15,1.2015694379806519,159,
,16,,169,1.2971793413162231
16.0,16,1.1725225448608398,169,
,17,,179,1.2754377126693726
17.0,17,1.1457273960113525,179,
,18,,189,1.2552467584609985
18.0,18,1.1209100484848022,189,
,19,,199,1.2364394664764404
19.0,19,1.097840428352356,199,
,20,,209,1.218867301940918
20.0,20,1.0763230323791504,209,
,21,,219,1.2024060487747192
21.0,21,1.0561919212341309,219,
,22,,229,1.1869503259658813
22.0,22,1.0373026132583618,229,
,23,,239,1.1724056005477905
23.0,23,1.019531011581421,239,
,24,,249,1.1586858034133911
24.0,24,1.002769947052002,249,
,25,,259,1.1457161903381348
25.0,25,0.9869248867034912,259,
,26,,269,1.133431077003479
26.0,26,0.9719135165214539,269,
,27,,279,1.1217710971832275
27.0,27,0.9576639533042908,279,
,28,,289,1.1106845140457153
28.0,28,0.9441115856170654,289,
,29,,299,1.1001330614089966
29.0,29,0.9312007427215576,299,
,30,,309,1.090078353881836
30.0,30,0.9188815355300903,309,
,31,,319,1.0804826021194458
31.0,31,0.9071095585823059,319,
,32,,329,1.071312427520752
32.0,32,0.8958446979522705,329,
,33,,339,1.0625399351119995
33.0,33,0.885050356388092,339,
,34,,349,1.0541406869888306
34.0,34,0.8746938705444336,349,
,35,,359,1.0460882186889648
35.0,35,0.8647454977035522,359,
,36,,369,1.0383594036102295
36.0,36,0.8551785945892334,369,
,37,,379,1.0309334993362427
37.0,37,0.84596848487854,379,
,38,,389,1.0237916707992554
38.0,38,0.8370931148529053,389,
,39,,399,1.0169183015823364
39.0,39,0.8285313248634338,399,
,40,,409,1.0102975368499756
40.0,40,0.8202651143074036,409,
,41,,419,1.0039159059524536
41.0,41,0.81227707862854,419,
,42,,429,0.9977602958679199
42.0,42,0.8045516610145569,429,
,43,,439,0.9918155074119568
43.0,43,0.7970746159553528,439,
,44,,449,0.9860702157020569
44.0,44,0.789832353591919,449,
,45,,459,0.9805140495300293
45.0,45,0.782812774181366,459,
,46,,469,0.9751385450363159
46.0,46,0.7760039567947388,469,
,47,,479,0.9699341654777527
47.0,47,0.769395112991333,479,
,48,,489,0.9648929834365845
48.0,48,0.7629765868186951,489,
,49,,499,0.9600082039833069
49.0,49,0.7567390203475952,499,
