epoch,step,train_loss_epoch,train_loss_step,val_loss
0,1,,,13.37318229675293
0,1,13.512432098388672,,
1,3,,,11.32880973815918
1,3,11.527420997619629,,
2,5,,,9.589879989624023
2,5,9.696049690246582,,
3,7,,,7.75126838684082
3,7,8.323766708374023,,
4,9,,,6.003247261047363
4,9,6.843124866485596,,
5,11,,,5.30038595199585
5,11,5.209141731262207,,
6,13,,,3.8103513717651367
6,13,4.235490798950195,,
7,15,,,3.2688634395599365
7,15,3.709786891937256,,
8,17,,,2.7089197635650635
8,17,2.944237470626831,,
9,19,,,2.048086166381836
9,19,2.8406822681427,,
10,21,,,2.2007172107696533
10,21,2.025606393814087,,
11,23,,,1.4385818243026733
11,23,1.516806960105896,,
12,25,,,1.5948541164398193
12,25,1.605722188949585,,
13,27,,,2.307391881942749
13,27,1.5471398830413818,,
14,29,,,2.231855869293213
14,29,1.9864143133163452,,
15,31,,,2.4082162380218506
15,31,1.6259745359420776,,
16,33,,,1.4549493789672852
16,33,1.8647894859313965,,
17,35,,,2.370781183242798
17,35,1.4636709690093994,,
18,37,,,1.7545068264007568
18,37,1.275850772857666,,
19,39,,,1.288813829421997
19,39,1.8621898889541626,,
20,41,,,1.6745545864105225
20,41,1.0832339525222778,,
21,43,,,1.6056164503097534
21,43,1.5601165294647217,,
22,45,,,1.8034369945526123
22,45,1.6671322584152222,,
23,47,,,2.589487075805664
23,47,1.2861231565475464,,
24,49,,1.1015897989273071,
24,49,,,1.8415759801864624
24,49,1.2694896459579468,,
25,51,,,0.7855212688446045
25,51,1.301054835319519,,
26,53,,,1.7245514392852783
26,53,1.4924981594085693,,
27,55,,,1.5582998991012573
27,55,1.3563568592071533,,
28,57,,,1.2247710227966309
28,57,1.058314323425293,,
29,59,,,1.270068883895874
29,59,1.3073409795761108,,
30,61,,,1.3599562644958496
30,61,1.6060982942581177,,
31,63,,,1.294948697090149
31,63,1.6954054832458496,,
32,65,,,1.7386622428894043
32,65,1.419399380683899,,
33,67,,,1.4142889976501465
33,67,1.2624900341033936,,
34,69,,,1.4935745000839233
34,69,1.3269685506820679,,
35,71,,,1.4892382621765137
35,71,1.3443162441253662,,
36,73,,,0.8091688752174377
36,73,1.4331527948379517,,
37,75,,,1.8368022441864014
37,75,1.2914307117462158,,
38,77,,,1.42008376121521
38,77,1.4721887111663818,,
39,79,,,0.8292531371116638
39,79,1.4381952285766602,,
40,81,,,1.8594791889190674
40,81,0.9708770513534546,,
41,83,,,2.1811132431030273
41,83,1.1373908519744873,,
42,85,,,1.0119651556015015
42,85,1.6891021728515625,,
43,87,,,1.93341863155365
43,87,1.1201645135879517,,
44,89,,,1.3223110437393188
44,89,1.1845258474349976,,
45,91,,,1.7296961545944214
45,91,1.4495419263839722,,
46,93,,,1.1308932304382324
46,93,1.14885675907135,,
47,95,,,1.1617963314056396
47,95,1.7974014282226562,,
48,97,,,1.336758017539978
48,97,1.3545809984207153,,
49,99,,0.7736838459968567,
49,99,,,1.5665900707244873
49,99,1.0519038438796997,,
50,101,,,1.2012643814086914
50,101,1.9872558116912842,,
51,103,,,2.142669677734375
51,103,1.6972395181655884,,
52,105,,,1.7749546766281128
52,105,1.264957308769226,,
53,107,,,1.0177183151245117
53,107,1.3430142402648926,,
54,109,,,1.5154485702514648
54,109,1.0989553928375244,,
55,111,,,2.1743111610412598
55,111,1.0252585411071777,,
56,113,,,1.4690330028533936
56,113,1.3466812372207642,,
57,115,,,0.8517895340919495
57,115,1.3628926277160645,,
58,117,,,2.236983299255371
58,117,1.2675431966781616,,
59,119,,,1.5173370838165283
59,119,1.2391148805618286,,
60,121,,,1.6376549005508423
60,121,1.4036411046981812,,
61,123,,,1.4228813648223877
61,123,1.715612530708313,,
62,125,,,1.2288662195205688
62,125,1.3391228914260864,,
63,127,,,1.6168986558914185
63,127,1.4532592296600342,,
